------------------------------------------------------------
 Net Charge Density
------------------------------------------------------------
Position (um), Charge Density (C/cm3)
                   0,      3.766120077e-18
      0.487971470245,                    0
      0.951544366978,                    0
       1.39193861887,                    0
       1.81031315818,                    0
       2.20776897051,                    0
       2.58535199223,                    0
       2.94405586287,                    0
       3.28482453997,                    0
       3.60855478322,                    0
        3.9160985143,                    0
       4.20826505883,                    0
       4.48582327613,   -7.53224015401e-19
       4.74950358257,   -7.53224015401e-19
       4.99999987369,    -1.5064480308e-18
       5.25024593471,    -2.2596720462e-18
       5.48797969268,     -3.766120077e-18
       5.71382676274,   -6.02579212321e-18
       5.92838147931,   -9.03868818481e-18
       6.13220846005,   -1.28048082618e-17
       6.32584409175,    -1.8830600385e-17
       6.50979794186,   -2.71160645544e-17
       6.68455409947,   -3.91676488008e-17
        6.8505724492,   -5.42321291089e-17
       7.00828988145,   -7.38159535093e-17
       7.15812144208,   -9.94255700329e-17
       7.30046142468,   -1.31814202695e-16
       7.43568440815,   -1.72488299527e-16
       7.56414624244,   -2.22201084543e-16
       7.68618498502,   -2.83212229791e-16
       7.80212179047,   -3.56274959285e-16
       7.91226175565,   -4.42895721056e-16
       8.01689472257,    -5.4533418715e-16
       8.11629604115,   -6.64343581583e-16
       8.21072729379,   -8.01430352386e-16
       8.30043698381,    -9.5810094759e-16
       8.38566118932,   -1.13435536719e-15
       8.46662418456,   -1.33245328324e-15
       8.54353903003,   -1.55239469574e-15
       8.61660813323,    -1.7949328287e-15
       8.68602378128,   -2.06082090614e-15
       8.75196864691,   -2.34930570404e-15
       8.81461626927,    -2.6603872224e-15
       8.87413151051,   -2.99481868523e-15
       8.93067098969,    -3.3503404205e-15
       8.98438349491,    -3.7269524282e-15
       9.03541037487,   -4.12540793235e-15
       9.08388591083,    -4.5434472609e-15
       9.12993766999,   -4.98634298195e-15
       9.17368684119,   -5.48045793606e-15
       9.21524855383,   -6.17794337432e-15
       9.25473218085,   -7.81469915978e-15
       9.29224162651,   -1.37131964244e-14
       9.32787559988,   -3.78608051341e-14
       9.36172787459,   -1.35273007374e-13
       9.39388753557,   -5.08554258478e-13
       9.42443921349,    -1.8578714742e-12
       9.45346330752,    -6.4583325205e-12
       9.48103619685,    -2.1275057866e-11
