,Z,N,A,mass,lifetime
150,16,12,28,4070.0,125     ms 10
151,9,20,29,40150.0,2.5   ms 0.3
152,10,19,29,18400.0,14.7   ms 0.4
153,11,18,29,2680.0,44.1   ms 0.9
154,10,20,30,23280.0,7.22  ms 0.18
155,11,19,30,8475.0,48.4   ms 1.7
156,10,21,31,31180.0,3.4   ms 0.8
157,11,20,31,12246.0,17.35  ms 0.40
158,17,14,31,5256.0,12291       5
159,18,13,31,11330.0,15.1   ms 0.3
160,10,22,32,37000.0,3.5   ms 0.9
161,11,21,32,18640.0,12.9   ms 0.3
162,11,22,33,23780.0,8.2   ms 0.4
163,12,21,33,4962.3,90.5   ms 1.6
164,11,23,34,31680.0,5.5   ms 1.0
165,12,22,34,8323.0,20     ms 10
166,11,24,35,38230.0,1.5   ms 0.5
167,12,23,35,15640.0,70     ms 40
168,20,15,35,4790.0,25.7   ms 0.2
169,12,24,36,20380.0,3.9   ms 1.3
170,13,23,36,5950.0,90     ms 40
171,12,25,37,28210.0,8     ms 4
172,13,24,37,9810.0,11.5   ms 0.4
173,13,25,38,16210.0,9.0   ms 0.7
174,13,26,39,20650.0,7.6   ms 1.6
175,14,25,39,2320.0,47.5   ms 2.0
176,22,17,39,2200.0,28.5   ms 0.9
177,14,26,40,5430.0,33.0   ms 1.0
178,14,27,41,12120.0,20.0   ms 2.5
179,14,28,42,16470.0,12.5   ms 3.5
180,15,27,42,1010.0,48.5   ms 1.5
181,24,18,42,6730.0,13.3   ms 1.0
182,15,28,43,4680.0,35.8   ms 1.3
183,15,29,44,10450.0,18.5   ms 2.5
184,26,19,45,13760.0,2.2   ms 0.3
185,16,30,46,340.0,50     ms 8
186,26,20,46,910.0,13.0   ms 2.0
187,28,20,48,16790.0,2.8   ms 0.8
188,28,21,49,8200.0,7.5   ms 1.0
189,80,91,171,3480.0,70     us 30
190,81,95,176,580.0,6.2   ms 2.3
191,82,96,178,3574.0,230     us 150
192,82,97,179,2050.0,3.9   ms 1.1
