,Z,N,A,mass,lifetime
643,104,155,259,98360.0,2.63   s 0.26
644,104,155,259,98430.0,60      70
645,104,155,259,98570.0,210      90
646,105,154,259,101990.0,510     ms 160
647,106,153,259,106520.0,402     ms 56
648,106,153,259,106610.0,87      22
649,101,159,260,96550.0,27.8    d 0.8
650,102,158,260,95610.0,106     ms 8
651,103,157,260,98280.0,3.0    m 0.5
652,104,156,260,99150.0,21     ms 1
653,105,155,260,103670.0,1.52   s 0.13
654,106,154,260,106548.0,4.95  ms 0.33
655,107,153,260,113320.0,41     ms 14
656,103,158,261,99560.0,39      m 12
657,105,156,261,104310.0,4.7    s 1.0
658,106,155,261,108005.0,183     ms 5
659,107,154,261,113130.0,12.8   ms 3.2
660,102,160,262,100100.0,~5     ms        0
661,103,159,262,102100.0,~4      h                      01
662,105,157,262,106250.0,34      s 4
663,106,156,262,108370.0,10.9   ms 2.3
664,106,156,262,109220.0,860      90
665,107,155,262,114540.0,84     ms 11
666,107,155,262,114760.0,210      50
667,104,159,263,104760.0,11      m 3
668,105,158,263,107110.0,29      s 9
669,106,157,263,110240.0,51      19
670,106,157,263,110290.0,100      30
671,108,155,263,119680.0,760     us 40
672,108,155,263,120000.0,320      70
673,106,158,264,110780.0,47     ms 20
674,107,157,264,116060.0,1.07   s 0.21
675,108,156,264,119563.0,540     us 300
676,104,161,265,108690.0,1.6    m 0.8
677,107,158,265,116420.0,1.19   s 0.52
678,108,157,265,120900.0,1.96  ms 0.16
679,108,157,265,121130.0,229      22
680,103,163,266,111620.0,21      h 14
681,105,161,266,112740.0,80      m 70
682,106,160,266,113620.0,390     ms 110
683,107,159,266,118100.0,2.5    s 1.6
684,108,158,266,121140.0,3.02  ms 0.54
685,108,158,266,122240.0,1100      70
686,109,157,266,127960.0,1.2   ms 0.4
687,109,157,266,129100.0,1140      80
688,104,163,267,113440.0,2.5    h 1.5
689,105,162,267,114070.0,100      m 60
690,106,161,267,115810.0,1.8    m 0.7
691,107,160,267,118770.0,22      s 10
692,108,159,267,122650.0,55     ms 11
693,108,159,267,122690.0,39      24
694,110,157,267,133880.0,10     us 8
695,105,163,268,117060.0,29      h 4
696,105,163,268,117210.0,150      70
697,108,160,268,122830.0,1.42   s 1.13
698,109,159,268,129150.0,27     ms 6
699,106,163,269,119760.0,5      m 3
700,108,161,269,124560.0,16      s 6
701,110,159,269,134830.0,230     us 110
702,105,165,270,122310.0,2.0    h 1.3
703,107,163,270,124230.0,3.8    m 3.0
704,108,162,270,125110.0,9      s 4
705,109,161,270,130710.0,6.3   ms 1.5
706,110,160,270,134680.0,205     us 48
707,110,160,270,136070.0,1390      60
708,106,165,271,124760.0,3.1    m 1.6
709,107,164,271,125920.0,10      m 8
710,110,161,271,136020.0,68      27
711,107,165,272,128790.0,11.3    s 1.8
712,111,161,272,142770.0,4.5   ms 1.0
713,108,165,273,131890.0,1060     ms 500
714,110,163,273,138360.0,240     us 80
715,107,167,274,133680.0,60      s 30
716,109,165,274,137250.0,850     ms 540
717,111,163,274,144610.0,29     ms 18
718,108,167,275,136620.0,290     ms 150
719,109,166,275,138830.0,117     ms 74
720,109,167,276,141570.0,250      80
721,108,169,277,141490.0,11     ms 9
722,109,168,277,142970.0,9      s 6
723,110,167,277,145140.0,6     ms 3
724,112,165,277,152400.0,850     us 280
725,109,169,278,145740.0,7      s 3
726,111,167,278,150520.0,8     ms 5
727,113,165,278,158890.0,2.3   ms 1.3
728,110,169,279,149130.0,210     ms 50
729,111,168,279,151780.0,180     ms 110
730,110,170,280,150520.0,11      s 6
731,111,169,280,153890.0,4.3    s 0.7
732,110,171,281,153430.0,14      s 4
733,111,170,281,155300.0,24      s 8
734,112,169,281,158020.0,180     ms 80
735,111,171,282,157800.0,1.6    m 0.7
736,112,170,282,158980.0,900     us 240
737,113,169,282,163730.0,140     ms 90
738,112,171,283,161490.0,4.1    s 1.0
739,113,170,283,164710.0,160     ms 100
740,112,172,284,162550.0,104     ms 20
741,113,171,284,166590.0,930     ms 140
742,114,170,284,168920.0,3.3   ms 1.4
743,112,173,285,165170.0,32      s 9
744,113,172,285,167730.0,3.3    s 1.1
745,114,171,285,171000.0,210     ms 100
746,113,173,286,170010.0,7      s 3
747,114,172,286,171770.0,140     ms 30
748,114,173,287,174070.0,520     ms 130
749,115,172,287,177900.0,95     ms 60
750,114,174,288,175040.0,750     ms 140
751,115,173,288,179770.0,170     ms 25
752,114,175,289,177560.0,2.4    s 0.6
753,115,174,289,180670.0,310     ms 90
754,115,175,290,182890.0,410     ms 190
755,116,174,290,185200.0,8     ms 3
756,116,175,291,187390.0,28     ms 15
757,116,176,292,188240.0,24     ms 12
758,116,177,293,190670.0,80     ms 40
759,117,176,293,194390.0,21     ms 6
760,117,177,294,196520.0,70     ms 30
761,118,176,294,199460.0,1.15  ms 0.47
