------------------------------------------------------------
 Jp - Hole current density
------------------------------------------------------------
Position (um), Current Density (A/cm2)
                   0,    2.68123630013e-05
      0.487971470245,    2.68123586495e-05
      0.951544366978,    2.68123516853e-05
       1.39193861887,    2.68123590257e-05
       1.81031315818,    2.68123652244e-05
       2.20776897051,    2.68123509882e-05
       2.58535199223,    2.68123596067e-05
       2.94405586287,    2.68123638882e-05
       3.28482453997,     2.6812360351e-05
       3.60855478322,    2.68123606287e-05
        3.9160985143,    2.68123520544e-05
       4.20826505883,    2.68123528642e-05
       4.48582327613,    2.68123558565e-05
       4.74950358257,    2.68123660188e-05
       4.99999987369,    2.68123510536e-05
       5.25024593471,     2.6812361459e-05
       5.48797969268,    2.68123714961e-05
       5.71382676274,    2.68123426906e-05
       5.92838147931,    2.68123636802e-05
       6.13220846005,    2.68123519484e-05
       6.32584409175,    2.68123582602e-05
       6.50979794186,     2.6812356009e-05
       6.68455409947,    2.68123561605e-05
        6.8505724492,    2.68123603349e-05
       7.00828988145,    2.68123704815e-05
       7.15812144208,    2.68123602434e-05
       7.30046142468,    2.68123547103e-05
       7.43568440815,    2.68123750525e-05
       7.56414624244,    2.68123347726e-05
       7.68618498502,    2.68123348413e-05
       7.80212179047,    2.68123751639e-05
       7.91226175565,    2.68123713128e-05
       8.01689472257,     2.6812371555e-05
       8.11629604115,    2.68123749461e-05
       8.21072729379,    2.68123594758e-05
       8.30043698381,    2.68123236037e-05
       8.38566118932,    2.68123295568e-05
       8.46662418456,    2.68123514212e-05
       8.54353903003,     2.6812331017e-05
       8.61660813323,    2.68124058977e-05
       8.68602378128,    2.68123717413e-05
       8.75196864691,    2.68123078805e-05
       8.81461626927,    2.68124008039e-05
       8.87413151051,    2.68123344851e-05
       8.93067098969,    2.68122994467e-05
       8.98438349491,    2.68123775265e-05
       9.03541037487,    2.68123912862e-05
       9.08388591083,    2.68123243579e-05
       9.12993766999,    2.68123713421e-05
       9.17368684119,     2.6812370336e-05
       9.21524855383,    2.68123499505e-05
       9.25473218085,     2.6812368569e-05
       9.29224162651,    2.68123817128e-05
       9.32787559988,    2.68122930455e-05
       9.36172787459,    2.68123925831e-05
       9.39388753557,    2.68123826553e-05
       9.42443921349,    2.68123745542e-05
       9.45346330752,    2.68124514556e-05
       9.48103619685,    2.68123091269e-05
       9.50723044171,    2.68122772501e-05
       9.53211497433,    2.68122065849e-05
       9.55575528031,    2.68123768809e-05
         9.578213571,    2.68125745579e-05
       9.59954894715,    2.68124868883e-05
        9.6198175545,    2.68122708935e-05
       9.63907273148,    2.68121720742e-05
       9.65736514961,     2.6812288548e-05
       9.67474294683,    2.68125028548e-05
       9.69125185419,    2.68124578723e-05
       9.70693531618,    2.68123486871e-05
       9.72183460508,    2.68123303659e-05
       9.73598892953,    2.68120661423e-05
       9.74943553775,    2.68124931679e-05
       9.76220981557,     2.6812315925e-05
       9.77434537949,     2.6812029421e-05
       9.78587416522,    2.68126791736e-05
       9.79682651166,    2.68124311007e-05
       9.80723124078,    2.68123343753e-05
       9.81711573345,    2.68124405426e-05
       9.82650600148,    2.68121606626e-05
       9.83542675611,    2.68121940691e-05
       9.84390147301,    2.68126234215e-05
       9.85195245406,    2.68124649287e-05
       9.85960088606,    2.68121734725e-05
       9.86686689646,    2.68123758564e-05
       9.87376960634,    2.68117923503e-05
       9.88032718072,    2.68123219952e-05
       9.88655687639,    2.68124404872e-05
       9.89247508728,    2.68119207034e-05
       9.89809738761,     2.6812256519e-05
       9.90343857294,     2.6813151781e-05
       9.90851269899,     2.6812442057e-05
       9.91333311875,    2.68124303272e-05
       9.91791251751,     2.6812314341e-05
       9.92226294634,    2.68113523762e-05
       9.92639585373,    2.68124589219e-05
       9.93032211574,    2.68126251505e-05
       9.93405206466,    2.68126239008e-05
       9.93759551613,    2.68127458708e-05
       9.94096179503,    2.68115917547e-05
       9.94415975998,    2.68126274047e-05
       9.94719782668,    2.68123997114e-05
       9.95008399005,     2.6812814936e-05
       9.95282584525,    2.68121749068e-05
       9.95543060769,    2.68121850403e-05
       9.95790513201,    2.68136584437e-05
       9.96025593011,    2.68109862985e-05
       9.96248918831,    2.68105872519e-05
        9.9646107836,     2.6814112103e-05
       9.96662629912,    2.68129630214e-05
       9.96854103887,    2.68120568102e-05
       9.97036004163,    2.68124565556e-05
       9.97208809425,    2.68117905767e-05
       9.97372974424,    2.68137075238e-05
       9.97528931173,    2.68119041791e-05
       9.97677090085,    2.68125313939e-05
       9.97817841051,    2.68133751955e-05
       9.97951554469,    2.68123608196e-05
       9.98078582215,    2.68108749479e-05
       9.98199258575,    2.68112733608e-05
       9.98313901117,    2.68128576085e-05
