------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,    -2.3628396888e-06
      0.487971470245,   -2.36283999287e-06
      0.951544366978,   -2.36284001635e-06
       1.39193861887,   -2.36283987414e-06
       1.81031315818,   -2.36283944899e-06
       2.20776897051,   -2.36283968872e-06
       2.58535199223,    -2.3628394175e-06
       2.94405586287,   -2.36283937788e-06
       3.28482453997,   -2.36283957846e-06
       3.60855478322,   -2.36284010328e-06
        3.9160985143,   -2.36284055124e-06
       4.20826505883,    -2.3628390903e-06
       4.48582327613,   -2.36283881921e-06
       4.74950358257,   -2.36283951652e-06
       4.99999987369,   -2.36283928794e-06
       5.25024593471,   -2.36283878204e-06
       5.48797969268,   -2.36283952173e-06
       5.71382676274,   -2.36284108255e-06
       5.92838147931,   -2.36284123518e-06
       6.13220846005,    -2.3628400783e-06
       6.32584409175,   -2.36283886053e-06
       6.50979794186,   -2.36283906072e-06
       6.68455409947,   -2.36284025443e-06
        6.8505724492,   -2.36284110663e-06
       7.00828988145,    -2.3628394892e-06
       7.15812144208,   -2.36284052568e-06
       7.30046142468,    -2.3628407429e-06
       7.43568440815,   -2.36283716127e-06
       7.56414624244,   -2.36283978245e-06
       7.68618498502,   -2.36284225005e-06
       7.80212179047,   -2.36284042998e-06
       7.91226175565,   -2.36284006759e-06
       8.01689472257,    -2.3628390738e-06
       8.11629604115,   -2.36283622715e-06
       8.21072729379,   -2.36283664317e-06
       8.30043698381,   -2.36283838884e-06
       8.38566118932,   -2.36284420601e-06
       8.46662418456,   -2.36284299626e-06
       8.54353903003,   -2.36283724272e-06
       8.61660813323,   -2.36284056861e-06
       8.68602378128,   -2.36283921879e-06
       8.75196864691,   -2.36283511117e-06
       8.81461626927,   -2.36284108494e-06
       8.87413151051,   -2.36283793619e-06
       8.93067098969,   -2.36283843815e-06
       8.98438349491,   -2.36284210828e-06
       9.03541037487,   -2.36283679978e-06
       9.08388591083,   -2.36284400867e-06
       9.12993766999,   -2.36284053009e-06
       9.17368684119,   -2.36283880193e-06
       9.21524855383,   -2.36283971895e-06
       9.25473218085,   -2.36284610377e-06
       9.29224162651,   -2.36284739421e-06
       9.32787559988,   -2.36283463436e-06
       9.36172787459,   -2.36284217105e-06
       9.39388753557,   -2.36283502779e-06
       9.42443921349,   -2.36283668902e-06
       9.45346330752,   -2.36284604316e-06
       9.48103619685,   -2.36283775424e-06
       9.50723044171,   -2.36282752912e-06
       9.53211497433,    -2.3628403569e-06
       9.55575528031,    -2.3628403071e-06
         9.578213571,    -2.3628423518e-06
       9.59954894715,   -2.36285181795e-06
        9.6198175545,    -2.3628247622e-06
       9.63907273148,   -2.36283166891e-06
       9.65736514961,    -2.3628563931e-06
       9.67474294683,   -2.36284327696e-06
       9.69125185419,   -2.36284789037e-06
       9.70693531618,   -2.36285062867e-06
       9.72183460508,   -2.36282230361e-06
       9.73598892953,   -2.36290598065e-06
       9.74943553775,   -2.36321317226e-06
       9.76220981557,   -2.36480164864e-06
       9.77434537949,   -2.37221329052e-06
       9.78587416522,   -2.40490601709e-06
       9.79682651166,   -2.54010466311e-06
       9.80723124078,   -3.06475604468e-06
       9.81711573345,   -4.98060538636e-06
       9.82650600148,   -1.15763152613e-05
       9.83542675611,   -3.30272993413e-05
       9.84390147301,   -9.90635260296e-05
       9.85195245406,   -0.000291872564856
       9.85960088606,   -0.000826848950083
       9.86686689646,    -0.00224018050678
       9.87376960634,    -0.00580209294377
       9.88032718072,     -0.0143816415156
       9.88655687639,     -0.0341687806717
       9.89247508728,     -0.0779427601733
       9.89809738761,      -0.170993746939
       9.90343857294,       -0.36137959088
       9.90851269899,      -0.736933443443
       9.91333311875,       -1.45229644182
       9.91791251751,       -2.77014980933
       9.92226294634,       -5.12162276078
       9.92639585373,       -9.19136230163
       9.93032211574,       -16.0327341693
       9.93405206466,       -27.2178328725
       9.93759551613,       -45.0251854007
       9.94096179503,       -72.6650662538
       9.94415975998,       -114.538117659
       9.94719782668,        -176.51751902
       9.95008399005,       -266.238442029
       9.95282584525,       -393.371297296
       9.95543060769,          -569.847871
       9.95790513201,       -810.002687238
       9.96025593011,       -1130.58697926
       9.96248918831,       -1550.61105758
        9.9646107836,       -2090.97448951
       9.96662629912,       -2773.85428537
       9.96854103887,       -3621.84071959
       9.97036004163,       -4656.83880477
       9.97208809425,       -5898.78902646
       9.97372974424,       -7364.29925577
       9.97528931173,       -9065.31358443
       9.97677090085,       -11007.9643401
       9.97817841051,       -13191.7525426
       9.97951554469,       -15609.1749468
       9.98078582215,       -18245.8641259
       9.98199258575,       -21081.2402783
       9.98313901117,       -24089.6033875
       9.98422811531,       -27241.5371552
       9.98526276425,       -30505.4635454
       9.98624568074,       -33849.1837616
        9.9871794514,       -37241.2651752
       9.98806653354,       -40652.1753496
       9.98890926156,       -44055.1125845
       9.98970985319,       -47426.5271266
       9.99047041523,       -50746.3615222
       9.99119294917,       -53998.0597766
       9.99187935642,       -57168.4036854
        9.9925314433,       -60247.2336741
       9.99315092584,        -63227.104211
       9.99373943425,       -66102.9135761
       9.99429851724,       -68871.5369404
       9.99482964608,       -71531.4818894
       9.99533421848,       -74082.5774821
       9.99581356226,       -76525.7018826
       9.99626893885,       -78862.5493743
       9.99670154661,       -81095.4348754
       9.99711252398,       -83227.1325387
       9.99750295249,       -85260.7443208
       9.99787385957,       -87199.5942529
       9.99822622129,       -89047.1443384
       9.99856096493,       -90806.9283732
       9.99887897139,       -92482.5004412
       9.99918107752,       -94077.3953074
