	l=12,5	l=25	l=50	l=100		s(I_e)	s(I:b)
13	2,6	14,40	6,76	207,39	37,44	5,78	33,40
14	2,8	15,28	7,84	233,60	42,80	6,00	35,99
15	3,0	16,26	9,00	264,55	48,79	6,32	39,90
16	3,2	17,54	10,24	307,66	56,13	6,93	48,01
17	3,4	18,52	11,56	343,04	62,97	7,25	52,51
18	3,6	19,50	12,96	380,34	70,21	7,56	57,22
19	3,8	20,68	14,44	427,64	78,58	8,08	65,26
20	4,0	21,66	16,00	469,18	86,64	8,40	70,49
$\Sigma _i$	42	230,93	114,8	3419,00	626,37	91,65	527,20
							
r	b  (mN/A)	s	s(b)  (mN/A)				
0,9998	5,456	5,3	0,49				
							
l  (mm)	b  $\pm 0,49 $   (mN/A)	B   (T)	s(B)   (T)				
25	5,46	0,218	0,020				
 							
B $\pm$ 0,020  (T)	I_b $\pm$ 0,05 (A)	cte (T/A)	s(cte) (T/A)				
0,218	1	0,218	0,022				
l=50							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
1,00	0,2	38,75	2,45				
1,00	0,4	38,94	4,32				
1,00	0,6	39,15	6,38				
1,00	0,8	39,38	8,63				
1,00	1,0	39,55	10,30				
1,00	1,2	39,74	12,16				
1,00	1,4	39,98	14,52				
1,00	1,6	40,19	16,58				
1,00	1,8	40,25	17,17				
1,00	2,0	40,45	19,13				
1,00	2,2	40,64	20,99				
1,00	2,4	40,81	22,66				
1,00	2,6	41,05	25,02				
1,00	2,8	41,27	27,17				
1,00	3,0	41,45	28,94				
1,00	3,2	41,62	30,61				
1,00	3,4	41,80	32,37				
1,00	3,6	42,03	34,63				
1,00	3,8	42,22	36,49				
1,00	4,0	42,42	38,46				
							
i	$x_i$	$y_i$	$x_i^2$	$y_i^2$	$x_i \cdot y_i$	$ y_i-b_x_i $	$(y_i-bx_i)^2$
1	0,2	2,45	0,04	6,01	0,49	1,79	3,20
2	0,4	4,32	0,16	18,63	1,73	2,99	8,94
3	0,6	6,38	0,36	40,66	3,83	4,39	19,24
4	0,8	8,63	0,64	74,53	6,91	5,98	35,76
5	1,0	10,30	1,00	106,10	10,30	6,98	48,78
6	1,2	12,16	1,44	147,97	14,60	8,19	67,00
7	1,4	14,52	1,96	210,80	20,33	9,88	97,54
8	1,6	16,58	2,56	274,86	26,53	11,27	127,08
9	1,8	17,17	3,24	294,72	30,90	11,20	125,41
10	2,0	19,13	4,00	365,94	38,26	12,50	156,18
11	2,2	20,99	4,84	440,72	46,19	13,70	187,64
12	2,4	22,66	5,76	513,53	54,39	14,70	216,16
13	2,6	25,02	6,76	625,78	65,04	16,39	268,75
14	2,8	27,17	7,84	738,41	76,09	17,89	320,00
15	3,0	28,94	9,00	837,49	86,82	18,99	360,67
16	3,2	30,61	10,24	936,80	97,94	20,00	399,83
17	3,4	32,37	11,56	1048,01	110,07	21,10	445,14
18	3,6	34,63	12,96	1199,19	124,67	22,69	514,90
19	3,8	36,49	14,44	1331,75	138,67	23,89	570,83
20	4,0	38,46	16,00	1478,80	153,82	25,19	634,58
$\Sigma _i$	42	408,98	114,8	10690,70	1107,55	269,70	4607,64
							
r	b  (mN/A)	s	s(b)  (mN/A)				
