x [mm],u(x) [mm],nr [#/s],u(nr) [#/s]
0.0,0.0,7.7071360609155235,0.48472162475838537
0.0,0.0,7.7384627794285725,0.41066275551737075
7.5,0.014,6.513078371108318,0.3438999097821092
15.0,0.028,6.540513209024476,0.35022087649754635
22.5,0.042,5.46974268035861,0.27971775476362387
37.5,0.07,5.337614010712035,0.2950901670719049
52.5,0.098,5.381892467905553,0.27853559614809664
67.5,0.126,5.765773230018189,0.3048051343111716
