Bins,Cuentas,Cuentas,Cuentas
0,214,214,214
1,646,646,646
2,1130,1130,1130
3,1382,1382,1382
4,1302,1302,1302
5,891,891,891
6,585,585,585
7,344,344,344
8,148,148,148
9,83,83,83
10,49,49,49
11,28,28,28
12,24,24,24
13,8,8,8
14,7,7,7
15,4,4,4
16,0,0,0
17,2,2,2
18,0,0,0
19,0,0,0
20,1,1,1
21,0,0,0
22,1,1,1
23,3,3,3
24,1,1,1
25,2,2,2
26,0,0,0
27,1,1,1
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,1,1
33,2,2,2
34,0,0,0
35,1,1,1
36,2,2,2
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,1,1,1
42,1,1,1
43,1,1,1
44,2,2,2
45,0,0,0
46,2,2,2
47,2,2,2
48,0,0,0
49,0,0,0
50,1,1,1
51,0,0,0
52,5,5,5
53,1,1,1
54,1,1,1
55,0,0,0
56,1,1,1
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,1,1,1
63,2,2,2
64,1,1,1
65,2,2,2
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,1,1,1
71,0,0,0
72,1,1,1
73,2,2,2
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,1,1,1
102,1,1,1
