U [kV],u(U) [kV],n12 [#/s],u(n12) [#/s],nacc [#/s],u(nacc) [#/s],nr [#/s],u(nr) [#/s]
-0.059,0.0026563508804372965,22.580645161290324,1.2217540239905895,8.505924147346512,0.2098661907343741,14.074721013943812,1.2396478181929553
-0.1,0.0031622776601683794,7.503364737550472,0.5035332590223197,0.9404892101969209,0.02200000437486673,6.562875527353551,0.5040136338772322
-0.209,0.0045930599821905225,6.797138047138047,0.3786597229584645,0.43101967433170074,0.009810811383574125,6.366118372806346,0.37878679730289594
-0.314,0.006023221729274127,6.180758017492711,0.34695135713518455,0.25328216608159293,0.00587715402676079,5.927475851411119,0.34700113134887706
-0.406,0.007294326562473057,4.811306570440535,0.26912457078451996,0.15602766419895953,0.003640206234978242,4.655278906241575,0.2691491885579172
