U [kV],u(U) [kV],n12 [#/s],u(n12) [#/s],nacc [#/s],u(nacc) [#/s],nr [#/s],u(nr) [#/s]
1.495,0.022600995553293667,4.594884362076887,0.2654434860662624,0.04918244704910106,0.0013100570234249786,4.545701915027786,0.26544671884281157
1.722,0.025805751296949293,6.295993458708095,0.35913745271614084,0.3097711334239023,0.007134497142643858,5.986222325284192,0.3592083114195949
1.899,0.02830548003479185,7.503364737550472,0.5035332590223197,0.9404892101969209,0.02200000437486673,6.562875527353551,0.5040136338772322
1.997,0.029689759177197787,10.002959455460196,0.5454485967175741,2.341239841610014,0.05296153844101387,7.661719613850183,0.5480137737458883
