Bins,Cuentas,Cuentas,Cuentas
0,2,2,2
1,1,1,1
2,2,2,2
3,0,0,0
4,3,3,3
5,8,8,8
6,10,10,10
7,26,26,26
8,38,38,38
9,76,76,76
10,102,102,102
11,146,146,146
12,222,222,222
13,217,217,217
14,225,225,225
15,253,253,253
16,245,245,245
17,223,223,223
18,185,185,185
19,153,153,153
20,110,110,110
21,83,83,83
22,65,65,65
23,40,40,40
24,18,18,18
25,23,23,23
26,3,3,3
27,7,7,7
28,5,5,5
29,4,4,4
30,1,1,1
