theta [º],u(theta) [º],nr [#/s],u(nr) [#/s]
0.0,0.28,1.133405821867766,0.10535698690017979
10.0,0.28,0.9995292863874341,0.08910237111239681
25.0,0.28,0.8452279551572903,0.08774628532950246
45.0,0.28,0.4891230337766871,0.07009875420996167
60.0,0.28,0.6784410101313958,0.08072535962491997
67.0,0.28,0.5439199915856765,0.08350378749698985
77.0,0.28,0.350157555184907,0.06687760623144447
90.0,0.28,0.27966475055191886,0.06310263519166744
