Bins,Cuentas,Cuentas,Cuentas
0,28487,28487,28487
1,13393,13393,13393
2,3615,3615,3615
3,643,643,643
4,187,187,187
5,416,416,416
6,488,488,488
7,258,258,258
8,94,94,94
9,58,58,58
10,53,53,53
11,12,12,12
12,7,7,7
13,1,1,1
14,0,0,0
15,1,1,1
