Bins,Cuentas,Cuentas,Cuentas
0,8366,8366,8366
1,8444,8444,8444
2,4287,4287,4287
3,1487,1487,1487
4,411,411,411
5,232,232,232
6,213,213,213
7,169,169,169
8,97,97,97
9,47,47,47
10,32,32,32
11,16,16,16
12,8,8,8
13,3,3,3
14,0,0,0
15,1,1,1
16,1,1,1
17,0,0,0
18,0,0,0
19,2,2,2
20,17,17,17
21,10,10,10
22,1,1,1
23,1,1,1
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,1,1,1
30,1,1,1
