Bins,Cuentas,Cuentas,Cuentas
0,1,1,1
1,5,5,5
2,13,13,13
3,36,36,36
4,51,51,51
5,99,99,99
6,108,108,108
7,145,145,145
8,100,100,100
9,90,90,90
10,85,85,85
11,58,58,58
12,27,27,27
13,18,18,18
14,13,13,13
15,7,7,7
16,6,6,6
17,1,1,1
18,0,0,0
19,1,1,1
20,0,0,0
21,1,1,1
