Bins,Cuentas,Cuentas,Cuentas
0,8366,8366,8366
1,8444,8444,8444
2,4287,4287,4287
3,1487,1487,1487
4,411,411,411
5,232,232,232
6,123,134,184
7,47,47,47
8,32,32,32
9,16,16,16
10,8,8,8
