------------------------------------------------------------
 Net Charge Density
------------------------------------------------------------
Position (um), Charge Density (C/cm3)
                   0,    2.41031684928e-17
      0.487971470245,                    0
      0.951544366978,                    0
       1.39193861887,                    0
       1.81031315818,                    0
       2.20776897051,                    0
       2.58535199223,                    0
       2.94405586287,                    0
       3.28482453997,                    0
       3.60855478322,                    0
        3.9160985143,                    0
       4.20826505883,                    0
       4.48582327613,                    0
       4.74950358257,                    0
       4.99999987369,                    0
       5.25024593471,                    0
       5.48797969268,                    0
       5.71382676274,                    0
       5.92838147931,                    0
       6.13220846005,                    0
       6.32584409175,                    0
       6.50979794186,                    0
       6.68455409947,                    0
        6.8505724492,                    0
       7.00828988145,                    0
       7.15812144208,                    0
       7.30046142468,                    0
       7.43568440815,                    0
       7.56414624244,                    0
       7.68618498502,                    0
       7.80212179047,                    0
       7.91226175565,                    0
       8.01689472257,                    0
       8.11629604115,                    0
       8.21072729379,                    0
       8.30043698381,                    0
       8.38566118932,                    0
       8.46662418456,                    0
       8.54353903003,                    0
       8.61660813323,                    0
       8.68602378128,                    0
       8.75196864691,                    0
       8.81461626927,                    0
       8.87413151051,                    0
       8.93067098969,                    0
       8.98438349491,                    0
       9.03541037487,                    0
       9.08388591083,                    0
       9.12993766999,                    0
       9.17368684119,                    0
       9.21524855383,                    0
       9.25473218085,                    0
       9.29224162651,                    0
       9.32787559988,                    0
       9.36172787459,                    0
       9.39388753557,                    0
       9.42443921349,                    0
       9.45346330752,                    0
       9.48103619685,                    0
       9.50723044171,                    0
       9.53211497433,                    0
       9.55575528031,                    0
         9.578213571,                    0
       9.59954894715,                    0
        9.6198175545,                    0
       9.63907273148,                    0
       9.65736514961,                    0
       9.67474294683,                    0
       9.69125185419,                    0
       9.70693531618,                    0
       9.72183460508,   -1.20515842464e-17
       9.73598892953,   -7.23095054785e-17
       9.74943553775,   -4.09753864378e-16
       9.76220981557,   -2.15723358011e-15
       9.77434537949,   -1.06053941368e-14
       9.78587416522,   -4.86763487713e-14
       9.79682651166,   -2.09239605686e-13
       9.80723124078,   -8.44406301809e-13
       9.81711573345,   -3.20561294529e-12
       9.82650600148,   -1.14713245681e-11
       9.83542675611,   -3.87741645752e-11
       9.84390147301,   -1.24046125089e-10
       9.85195245406,   -3.76368758524e-10
       9.85960088606,    -1.0851813362e-09
       9.86686689646,   -2.97924782146e-09
       9.87376960634,   -7.80314518545e-09
       9.88032718072,   -1.95352325453e-08
       9.88655687639,   -4.68341387225e-08
       9.89247508728,   -1.07718748482e-07
       9.89809738761,   -2.38107911622e-07
       9.90343857294,   -5.06707295068e-07
       9.90851269899,   -1.03983747927e-06
       9.91333311875,   -2.06110095538e-06
       9.91791251751,   -3.95216145684e-06
       9.92226294634,   -7.34214188955e-06
       9.92639585373,   -1.32339301093e-05
       9.93032211574,   -2.31756312931e-05
       9.93405206466,    -3.9484090962e-05
       9.93759551613,    -6.5524394752e-05
       9.94096179503,   -0.000106044123549
       9.94415975998,   -0.000167553574475
       9.94719782668,   -0.000258732946534
       9.95008399005,    -0.00039083464819
       9.95282584525,   -0.000578033801555
       9.95543060769,   -0.000837663717325
       9.95790513201,    -0.00119025761171
       9.96025593011,    -0.00165930652283
       9.96248918831,    -0.00227064125339
        9.9646107836,    -0.00305135957385
       9.96662629912,    -0.00402825549082
       9.96854103887,    -0.00522576976606
       9.97036004163,     -0.0066635694157
       9.97208809425,    -0.00835396910511
       9.97372974424,     -0.0102995086752
       9.97528931173,      -0.012491068644
       9.97677090085,     -0.0149069073484
       9.97817841051,     -0.0175129171553
       9.97951554469,     -0.0202642233624
       9.98078582215,     -0.0231080184487
       9.98199258575,     -0.0259872919953
       9.98313901117,     -0.0288449466623
       9.98422811531,     -0.0316277312167
       9.98526276425,     -0.0342894865145
       9.98624568074,     -0.0367933644582
        9.9871794514,     -0.0391128912331
       9.98806653354,     -0.0412319466925
       9.98890926156,     -0.0431438778912
       9.98970985319,     -0.0448500373226
       9.99047041523,     -0.0463580399996
       9.99119294917,      -0.047679987988
       9.99187935642,     -0.0488308409283
        9.9925314433,     -0.0498270376893
       9.99315092584,     -0.0506854115218
       9.99373943425,     -0.0514223952544
       9.99429851724,      -0.052053484745
       9.99482964608,     -0.0525929151433
       9.99533421848,     -0.0530535014385
       9.99581356226,      -0.053446598242
       9.99626893885,     -0.0537821405659
       9.99670154661,     -0.0540687352423
       9.99711252398,     -0.0543137802078
       9.99750295249,     -0.0545235954422
       9.99787385957,     -0.0547035546519
       9.99822622129,     -0.0548582108348
       9.99856096493,     -0.0549914118125
       9.99887897139,     -0.0551064038719
       9.99918107752,     -0.0552059230197
       9.99946807835,     -0.0552922742108
       9.99974072913,     -0.0553673994006
       9.99999974738,     -0.0498259353601
       10.0000001659,     0.00624396481986
       10.0000006305,     0.00624385224793
       10.0000011463,     0.00624372731676
       10.0000017187,     0.00624358867232
       10.0000023541,     0.00624343481291
       10.0000030594,      0.0062432640732
       10.0000038423,     0.00624307460663
       10.0000047113,     0.00624286436585
       10.0000056759,     0.00624263108127
       10.0000067466,      0.0062423722372
       10.0000079351,      0.0062420850457
       10.0000092543,     0.00624176641757
       10.0000107186,     0.00624141293053
        10.000012344,     0.00624102079412
       10.0000141482,     0.00624058581106
       10.0000161508,     0.00624010333491
       10.0000183738,     0.00623956822349
       10.0000208413,     0.00623897478789
       10.0000235801,      0.0062383167367
       10.0000266203,     0.00623758711506
       10.0000299949,      0.0062367782382
       10.0000337407,     0.00623588161926
       10.0000378985,     0.00623488789084
       10.0000425137,     0.00623378672031
       10.0000476366,     0.00623256671843
       10.0000533229,     0.00623121534125
       10.0000596348,     0.00622971878537
        10.000066641,     0.00622806187653
       10.0000744178,     0.00622622795204
       10.0000830502,      0.0062241987376
        10.000092632,      0.0062219542195
       10.0001032679,      0.0062194725135
       10.0001150737,     0.00621672973235
       10.0001281782,     0.00621369985456
       10.0001427241,     0.00621035459761
       10.0001588701,     0.00620666330002
       10.0001767922,     0.00620259281767
       10.0001966857,     0.00619810744118
       10.0002187675,      0.0061931688428
       10.0002432783,       0.006187736063
       10.0002704852,     0.00618176554915
        10.000300685,     0.00617521126097
       10.0003342066,     0.00616802486015
       10.0003714157,      0.0061601560041
       10.0004127178,     0.00615155276681
       10.0004585631,     0.00614216221248
       10.0005094514,     0.00613193114986
       10.0005659374,     0.00612080709739
       10.0006286369,     0.00610873948954
       10.0006982333,     0.00609568115396
       10.0007754853,     0.00608159008575
        10.000861235,     0.00606643153825
       10.0009564173,     0.00605018043881
       10.0010620695,     0.00603282412149
       10.0011793435,     0.00601436534493
       10.0013095176,     0.00599482553306
       10.0014540109,     0.00597424813598
       10.0016143985,     0.00595270196071
       10.0017924287,     0.00593028426545
       10.0019900422,     0.00590712335099
       10.0022093932,     0.00588338032283
       10.0024528728,     0.00585924964644
       10.0027231351,     0.00583495808606
       10.0030231263,     0.00581076161957
       10.0033561166,     0.00578693997445
       10.0037257358,     0.00576378854912
        10.004136013,     0.00574160768396
       10.0045914208,     0.00572068953065
       10.0050969235,     0.00570130312791
       10.0056580314,     0.00568367869389
       10.0062808612,     0.00566799253328
       10.0069722023,     0.00565435424871
       10.0077395909,     0.00564279804311
