------------------------------------------------------------
 Efn - quasi Fermi level for electrons
------------------------------------------------------------
Position (um), Energy (eV)
                   0,    9.18412042522e-17
      0.487971470245,    9.18412042522e-17
      0.951544366978,    9.18412042522e-17
       1.39193861887,    9.18412042522e-17
       1.81031315818,    9.18412042522e-17
       2.20776897051,   -9.18412042522e-17
       2.58535199223,   -9.18412042522e-17
       2.94405586287,   -9.18412042522e-17
       3.28482453997,   -9.18412042522e-17
       3.60855478322,   -9.18412042522e-17
        3.9160985143,   -9.18412042522e-17
       4.20826505883,   -9.18412042522e-17
       4.48582327613,   -9.18412042522e-17
       4.74950358257,   -9.18412042522e-17
       4.99999987369,   -9.18412042522e-17
       5.25024593471,   -9.18412042522e-17
       5.48797969268,   -9.18412042522e-17
       5.71382676274,   -9.18412042522e-17
       5.92838147931,   -9.18412042522e-17
       6.13220846005,   -9.18412042522e-17
       6.32584409175,   -9.18412042522e-17
       6.50979794186,   -9.18412042522e-17
       6.68455409947,   -9.18412042522e-17
        6.8505724492,   -9.18412042522e-17
       7.00828988145,   -9.18412042522e-17
       7.15812144208,   -9.18412042522e-17
       7.30046142468,   -9.18412042522e-17
       7.43568440815,   -9.18412042522e-17
       7.56414624244,   -9.18412042522e-17
       7.68618498502,   -9.18412042522e-17
       7.80212179047,   -9.18412042522e-17
       7.91226175565,   -9.18412042522e-17
       8.01689472257,   -9.18412042522e-17
       8.11629604115,   -9.18412042522e-17
       8.21072729379,    9.18412042522e-17
       8.30043698381,    9.18412042522e-17
       8.38566118932,    9.18412042522e-17
       8.46662418456,    9.18412042522e-17
       8.54353903003,    9.18412042522e-17
       8.61660813323,    9.18412042522e-17
       8.68602378128,    9.18412042522e-17
       8.75196864691,    9.18412042522e-17
       8.81461626927,    9.18412042522e-17
       8.87413151051,    9.18412042522e-17
       8.93067098969,    9.18412042522e-17
       8.98438349491,    9.18412042522e-17
       9.03541037487,    9.18412042522e-17
       9.08388591083,    9.18412042522e-17
       9.12993766999,    9.18412042522e-17
       9.17368684119,    9.18412042522e-17
       9.21524855383,    9.18412042522e-17
       9.25473218085,    9.18412042522e-17
       9.29224162651,    9.18412042522e-17
       9.32787559988,    9.18412042522e-17
       9.36172787459,    9.18412042522e-17
       9.39388753557,    9.18412042522e-17
       9.42443921349,    9.18412042522e-17
       9.45346330752,    9.18412042522e-17
       9.48103619685,    9.18412042522e-17
       9.50723044171,    9.18412042522e-17
       9.53211497433,    9.18412042522e-17
       9.55575528031,    9.18412042522e-17
         9.578213571,    9.18412042522e-17
       9.59954894715,    9.18412042522e-17
        9.6198175545,    9.18412042522e-17
       9.63907273148,    9.18412042522e-17
       9.65736514961,    9.18412042522e-17
       9.67474294683,    9.18412042522e-17
       9.69125185419,    9.18412042522e-17
       9.70693531618,    9.18412042522e-17
       9.72183460508,    9.18412042522e-17
       9.73598892953,    9.18412042522e-17
       9.74943553775,    9.18412042522e-17
       9.76220981557,    9.18412042522e-17
       9.77434537949,    9.18412042522e-17
       9.78587416522,    1.83682408504e-16
       9.79682651166,                    0
       9.80723124078,    1.83682408504e-16
       9.81711573345,    9.18412042522e-17
       9.82650600148,    9.18412042522e-17
       9.83542675611,    9.18412042522e-17
       9.84390147301,    9.18412042522e-17
       9.85195245406,                    0
       9.85960088606,                    0
       9.86686689646,                    0
       9.87376960634,    1.83682408504e-16
       9.88032718072,                    0
       9.88655687639,                    0
       9.89247508728,    9.18412042522e-17
       9.89809738761,                    0
       9.90343857294,    9.18412042522e-17
       9.90851269899,    9.18412042522e-17
       9.91333311875,    9.18412042522e-17
       9.91791251751,    1.83682408504e-16
       9.92226294634,                    0
       9.92639585373,                    0
       9.93032211574,    9.18412042522e-17
       9.93405206466,                    0
       9.93759551613,                    0
       9.94096179503,    9.18412042522e-17
       9.94415975998,    9.18412042522e-17
       9.94719782668,    9.18412042522e-17
       9.95008399005,    9.18412042522e-17
       9.95282584525,                    0
       9.95543060769,    9.18412042522e-17
       9.95790513201,                    0
       9.96025593011,                    0
       9.96248918831,    1.83682408504e-16
        9.9646107836,    1.83682408504e-16
       9.96662629912,                    0
       9.96854103887,                    0
       9.97036004163,    9.18412042522e-17
       9.97208809425,    9.18412042522e-17
       9.97372974424,    9.18412042522e-17
       9.97528931173,    9.18412042522e-17
       9.97677090085,    1.83682408504e-16
       9.97817841051,    1.83682408504e-16
       9.97951554469,                    0
       9.98078582215,                    0
       9.98199258575,                    0
       9.98313901117,                    0
       9.98422811531,                    0
       9.98526276425,    1.83682408504e-16
       9.98624568074,    9.18412042522e-17
        9.9871794514,    9.18412042522e-17
       9.98806653354,    9.18412042522e-17
       9.98890926156,    1.83682408504e-16
       9.98970985319,    9.18412042522e-17
       9.99047041523,                    0
       9.99119294917,    9.18412042522e-17
       9.99187935642,    9.18412042522e-17
        9.9925314433,    9.18412042522e-17
       9.99315092584,    9.18412042522e-17
       9.99373943425,                    0
       9.99429851724,    9.18412042522e-17
       9.99482964608,    9.18412042522e-17
       9.99533421848,    9.18412042522e-17
       9.99581356226,    9.18412042522e-17
       9.99626893885,                    0
       9.99670154661,    9.18412042522e-17
       9.99711252398,    9.18412042522e-17
       9.99750295249,    9.18412042522e-17
       9.99787385957,    9.18412042522e-17
       9.99822622129,    9.18412042522e-17
       9.99856096493,    9.18412042522e-17
       9.99887897139,    1.83682408504e-16
       9.99918107752,    9.18412042522e-17
       9.99946807835,    9.18412042522e-17
       9.99974072913,    9.18412042522e-17
       9.99999974738,    9.18412042522e-17
       10.0000023541,    1.83682408504e-16
       10.0000030594,    9.18412042522e-17
       10.0000208413,                    0
       10.0000235801,    9.18412042522e-17
       10.0000378985,    1.83682408504e-16
       10.0000425137,    9.18412042522e-17
       10.0000533229,                    0
       10.0000596348,    9.18412042522e-17
        10.000066641,    1.83682408504e-16
       10.0000744178,    9.18412042522e-17
       10.0001032679,                    0
       10.0001150737,    9.18412042522e-17
       10.0001427241,    9.18412042522e-17
       10.0001767922,    1.83682408504e-16
       10.0001966857,                    0
       10.0002187675,                    0
       10.0002432783,                    0
       10.0002704852,    9.18412042522e-17
        10.000300685,    9.18412042522e-17
       10.0003342066,    9.18412042522e-17
       10.0003714157,    9.18412042522e-17
       10.0004127178,    9.18412042522e-17
       10.0004585631,    9.18412042522e-17
       10.0005094514,    9.18412042522e-17
       10.0005659374,    9.18412042522e-17
