U1/V	IA/nA	IA2/nA
28,00	0,51	0,49
28,03	0,48	0,48
28,05	0,47	0,47
28,08	0,45	0,46
28,10	0,43	0,45
28,13	0,39	0,44
28,15	0,40	0,43
28,18	0,40	0,41
28,20	0,38	0,40
28,22	0,38	0,39
28,25	0,39	0,38
28,27	0,38	0,38
28,30	0,37	0,37
28,32	0,38	0,37
28,35	0,37	0,37
28,37	0,34	0,36
28,40	0,33	0,36
28,42	0,36	0,36
28,44	0,33	0,35
28,47	0,33	0,35
28,49	0,38	0,34
28,52	0,37	0,34
28,54	0,34	0,34
28,57	0,34	0,34
28,59	0,34	0,34
28,62	0,31	0,34
28,64	0,30	0,34
28,66	0,32	0,34
28,69	0,33	0,34
28,71	0,32	0,34
28,74	0,33	0,34
28,76	0,35	0,34
28,79	0,34	0,34
28,81	0,34	0,34
28,84	0,35	0,35
28,86	0,37	0,35
28,88	0,37	0,36
28,91	0,37	0,36
28,93	0,38	0,37
28,96	0,38	0,37
28,98	0,34	0,38
29,01	0,34	0,39
29,03	0,37	0,40
29,05	0,38	0,40
29,08	0,39	0,41
29,10	0,42	0,42
29,13	0,45	0,43
29,15	0,44	0,44
29,18	0,44	0,45
29,20	0,47	0,47
29,23	0,48	0,49
29,25	0,48	0,50
29,27	0,49	0,52
29,30	0,52	0,54
29,32	0,52	0,55
29,35	0,56	0,56
29,37	0,59	0,58
29,40	0,63	0,60
29,42	0,63	0,62
29,45	0,64	0,64
29,47	0,66	0,66
29,49	0,68	0,68
29,52	0,67	0,70
29,54	0,69	0,72
29,57	0,74	0,75
29,59	0,76	0,77
29,62	0,77	0,78
29,64	0,81	0,80
29,67	0,86	0,82
29,69	0,86	0,84
29,71	0,86	0,86
29,74	0,91	0,89
29,76	0,93	0,91
29,79	0,92	0,94
29,81	0,95	0,96
29,84	0,96	0,99
29,86	0,96	1,02
29,89	0,97	1,04
29,91	1,04	1,07
29,93	1,07	1,09
29,96	1,12	1,11
29,98	1,17	1,14
30,01	1,22	1,17
30,03	1,24	1,20
30,06	1,25	1,23
30,08	1,25	1,26
30,10	1,28	1,30
30,13	1,29	1,33
30,15	1,31	1,36
30,18	1,35	1,39
30,20	1,43	1,41
30,23	1,46	1,44
30,25	1,50	1,46
30,28	1,54	1,49
30,30	1,56	1,51
30,32	1,55	1,54
30,35	1,59	1,57
30,37	1,61	1,60
30,40	1,61	1,62
30,42	1,62	1,65
30,45	1,67	1,67
30,47	1,69	1,69
30,50	1,70	1,71
30,52	1,74	1,73
30,54	1,79	1,74
30,57	1,78	1,76
30,59	1,79	1,78
30,62	1,82	1,80
30,64	1,84	1,82
30,67	1,84	1,83
30,69	1,84	1,85
30,72	1,87	1,87
30,74	1,88	1,88
30,76	1,88	1,89
30,79	1,90	1,90
30,81	1,94	1,91
30,84	1,94	1,91
30,86	1,94	1,92
30,89	1,97	1,93
30,91	1,98	1,94
30,94	1,95	1,95
30,96	1,95	1,96
30,98	1,96	1,96
31,01	1,94	1,97
31,03	1,93	1,97
31,06	1,99	1,97
31,08	2,01	1,97
31,11	2,00	1,97
31,13	2,00	1,97
31,15	2,02	1,97
31,18	1,98	1,97
31,20	1,96	1,96
31,23	1,96	1,96
31,25	1,96	1,96
31,28	1,95	1,95
31,30	1,95	1,94
31,33	1,95	1,93
31,35	1,94	1,92
31,37	1,93	1,91
31,40	1,92	1,89
31,42	1,90	1,88
31,45	1,89	1,87
31,47	1,86	1,85
31,50	1,84	1,84
31,52	1,83	1,83
31,55	1,80	1,81
31,57	1,77	1,79
31,59	1,77	1,77
31,62	1,77	1,75
31,64	1,74	1,73
31,67	1,71	1,71
31,69	1,72	1,69
31,72	1,69	1,67
31,74	1,64	1,65
31,77	1,63	1,63
31,79	1,62	1,62
31,81	1,57	1,60
31,84	1,55	1,58
31,86	1,54	1,56
31,89	1,53	1,54
31,91	1,51	1,52
31,94	1,50	1,49
31,96	1,50	1,47
31,99	1,48	1,46
32,01	1,44	1,44
32,03	1,43	1,43
32,06	1,41	1,41
32,08	1,37	1,39
32,11	1,33	1,37
32,13	1,32	1,36
32,16	1,33	1,33
32,18	1,32	1,31
32,20	1,32	1,29
32,23	1,35	1,27
32,25	1,32	1,25
32,28	1,23	1,23
32,30	1,21	1,21
32,33	1,19	1,19
32,35	1,13	1,17
32,38	1,11	1,16
32,40	1,13	1,14
32,42	1,10	1,11
32,45	1,06	1,09
32,47	1,07	1,06
32,50	1,05	1,04
32,52	1,03	1,01
32,55	1,02	0,99
32,57	1,01	0,97
32,60	0,98	0,95
32,62	0,94	0,93
32,64	0,89	0,91
32,67	0,87	0,89
32,69	0,84	0,87
32,72	0,80	0,85
32,74	0,79	0,84
32,77	0,80	0,82
32,79	0,78	0,80
32,82	0,76	0,78
32,84	0,77	0,77
32,86	0,76	0,75
32,89	0,74	0,74
32,91	0,73	0,73
32,94	0,74	0,72
32,96	0,71	0,71
32,99	0,68	0,70
33,01	0,69	0,69
33,04	0,68	0,68
33,06	0,64	0,67
33,08	0,67	0,66
33,11	0,68	0,65
33,13	0,66	0,64
33,16	0,65	0,63
33,18	0,64	0,62
33,21	0,60	0,61
33,23	0,57	0,60
33,26	0,56	0,60
33,28	0,55	0,59
33,30	0,56	0,58
33,33	0,57	0,58
33,35	0,56	0,57
33,38	0,56	0,56
33,40	0,56	0,55
33,43	0,55	0,54
33,45	0,55	0,54
33,47	0,56	0,54
33,50	0,55	0,54
33,52	0,54	0,53
33,55	0,54	0,53
33,57	0,50	0,53
33,60	0,48	0,53
33,62	0,48	0,53
33,65	0,50	0,53
33,67	0,51	0,53
33,69	0,53	0,53
33,72	0,55	0,53
33,74	0,56	0,53
33,77	0,53	0,53
33,79	0,53	0,54
33,82	0,54	0,55
33,84	0,54	0,56
33,87	0,53	0,57
33,89	0,54	0,57
33,91	0,56	0,58
33,94	0,59	0,59
33,96	0,59	0,59
33,99	0,63	0,60
34,01	0,65	0,61
34,04	0,65	0,62
34,06	0,63	0,63
34,09	0,65	0,65
34,11	0,64	0,66
34,13	0,62	0,67
34,16	0,64	0,69
34,18	0,70	0,70
34,21	0,70	0,72
34,23	0,71	0,73
34,26	0,76	0,74
34,28	0,78	0,76
34,31	0,76	0,77
34,33	0,78	0,79
34,35	0,82	0,81
34,38	0,83	0,83
34,40	0,84	0,85
34,43	0,86	0,87
34,45	0,88	0,89
34,48	0,87	0,91
34,50	0,89	0,93
34,52	0,93	0,95
34,55	0,98	0,98
34,57	0,99	1,00
34,60	1,04	1,03
34,62	1,08	1,05
34,65	1,09	1,08
34,67	1,08	1,11
34,70	1,12	1,14
34,72	1,15	1,16
34,74	1,16	1,19
34,77	1,19	1,22
34,79	1,28	1,24
34,82	1,31	1,26
34,84	1,31	1,28
34,87	1,33	1,30
34,89	1,38	1,32
34,92	1,36	1,34
34,94	1,38	1,36
34,96	1,41	1,37
34,99	1,43	1,39
