U1/V	IA/nA	IA2/nA
6,49	0,01	0,01
6,52	0,01	0,01
6,54	0,01	0,01
6,56	0,01	0,01
6,59	0,01	0,01
6,61	0,01	0,01
6,64	0,01	0,01
6,66	0,01	0,01
6,69	0,01	0,01
6,71	0,02	0,01
6,73	0,02	0,01
6,76	0,02	0,01
6,78	0,02	0,01
6,81	0,02	0,01
6,83	0,01	0,01
6,86	0,01	0,01
6,88	0,01	0,01
6,91	0,01	0,01
6,93	0,01	0,01
6,95	0,01	0,01
6,98	0,01	0,01
7,00	0,01	0,01
7,03	0,01	0,01
7,05	0,01	0,02
7,08	0,02	0,02
7,10	0,02	0,02
7,13	0,02	0,03
7,15	0,02	0,03
7,17	0,02	0,03
7,20	0,02	0,03
7,22	0,02	0,04
7,25	0,06	0,04
7,27	0,05	0,04
7,30	0,05	0,04
7,32	0,08	0,04
7,35	0,08	0,04
7,37	0,04	0,04
7,39	0,04	0,04
7,42	0,05	0,04
7,44	0,03	0,05
7,47	0,03	0,05
7,49	0,04	0,05
7,52	0,04	0,05
7,54	0,02	0,04
7,57	0,04	0,04
7,59	0,05	0,04
7,61	0,04	0,04
7,64	0,04	0,04
7,66	0,06	0,04
7,69	0,05	0,04
7,71	0,05	0,04
7,74	0,04	0,04
7,76	0,05	0,05
7,78	0,04	0,05
7,81	0,03	0,05
7,83	0,03	0,05
7,86	0,05	0,05
7,88	0,06	0,05
7,91	0,05	0,05
7,93	0,05	0,05
7,96	0,07	0,05
7,98	0,05	0,05
8,00	0,04	0,06
8,03	0,05	0,06
8,05	0,05	0,06
8,08	0,03	0,07
8,10	0,07	0,07
8,13	0,08	0,07
8,15	0,07	0,07
8,18	0,09	0,06
8,20	0,11	0,06
8,22	0,10	0,06
8,25	0,08	0,07
8,27	0,09	0,07
8,30	0,06	0,07
8,32	0,05	0,07
8,35	0,03	0,07
8,37	0,04	0,07
8,40	0,05	0,07
8,42	0,06	0,07
8,44	0,06	0,07
8,47	0,08	0,07
8,49	0,10	0,07
8,52	0,07	0,06
8,54	0,07	0,06
8,57	0,10	0,06
8,59	0,09	0,06
8,62	0,07	0,07
8,64	0,08	0,07
8,66	0,06	0,07
8,69	0,03	0,06
8,71	0,02	0,06
8,74	0,04	0,06
8,76	0,05	0,06
8,79	0,06	0,06
8,81	0,07	0,06
8,84	0,09	0,06
8,86	0,07	0,06
8,88	0,05	0,06
8,91	0,05	0,07
8,93	0,05	0,07
8,96	0,06	0,07
8,98	0,06	0,07
9,01	0,08	0,08
9,03	0,10	0,08
9,05	0,09	0,07
9,08	0,08	0,08
9,10	0,10	0,08
9,13	0,10	0,08
9,15	0,07	0,09
9,18	0,09	0,09
9,20	0,09	0,09
9,23	0,07	0,09
9,25	0,06	0,09
9,27	0,11	0,09
9,30	0,10	0,09
9,32	0,09	0,09
9,35	0,12	0,09
9,37	0,14	0,09
9,40	0,10	0,08
9,42	0,09	0,08
9,45	0,10	0,08
9,47	0,08	0,08
9,49	0,06	0,08
9,52	0,05	0,08
9,54	0,06	0,08
9,57	0,04	0,08
9,59	0,04	0,08
9,62	0,06	0,07
9,64	0,08	0,07
9,67	0,07	0,07
9,69	0,09	0,07
9,71	0,11	0,08
9,74	0,10	0,08
9,76	0,08	0,08
9,79	0,08	0,09
9,81	0,08	0,09
9,84	0,07	0,09
9,86	0,07	0,09
9,89	0,12	0,09
9,91	0,13	0,09
9,93	0,11	0,09
9,96	0,11	0,09
9,98	0,12	0,09
10,01	0,07	0,09
10,03	0,06	0,10
10,06	0,09	0,10
10,08	0,10	0,10
10,10	0,08	0,10
10,13	0,10	0,10
10,15	0,11	0,10
10,18	0,10	0,10
10,20	0,11	0,10
10,23	0,11	0,10
10,25	0,12	0,10
10,28	0,11	0,10
10,30	0,10	0,10
10,32	0,10	0,10
10,35	0,11	0,11
10,37	0,08	0,11
10,40	0,08	0,11
10,42	0,10	0,11
10,45	0,11	0,11
10,47	0,09	0,11
10,50	0,12	0,11
10,52	0,13	0,11
10,54	0,12	0,11
10,57	0,12	0,12
10,59	0,13	0,12
10,62	0,12	0,13
10,64	0,11	0,14
10,67	0,11	0,14
10,69	0,13	0,14
10,72	0,12	0,15
10,74	0,16	0,15
10,76	0,18	0,15
10,79	0,19	0,16
10,81	0,18	0,16
10,84	0,19	0,16
10,86	0,16	0,17
10,89	0,16	0,18
10,91	0,16	0,18
10,94	0,15	0,19
10,96	0,17	0,20
10,98	0,21	0,20
11,01	0,20	0,20
11,03	0,21	0,20
11,06	0,24	0,20
11,08	0,23	0,20
11,11	0,21	0,21
11,13	0,24	0,21
11,15	0,25	0,22
11,18	0,22	0,22
11,20	0,22	0,23
11,23	0,21	0,23
