 1.093896234181E+03  -1.668904074258E+03  -5.750078400768E+02   1.461451214671E+00   6.836535287433E-01   9.454301775237E+02  -9.911007993127E+00   5.638310867529E-01   1.539579798161E+00
 1.095488394257E+03  -1.670501815637E+03  -5.750134213797E+02   1.463578349041E+00   6.838369518298E-01   9.279311615565E+02  -9.578518255194E+00   5.748569697031E-01   1.544455298457E+00
 1.092296192204E+03  -1.667300522891E+03  -5.750043306868E+02   1.459313550039E+00   6.819715430508E-01   9.482185751048E+02  -9.886357456364E+00   5.621567265377E-01   1.531754043060E+00
 1.096552594985E+03  -1.671566545920E+03  -5.750139509347E+02   1.465000126901E+00   6.852222681832E-01   9.618257470272E+02  -9.908036669006E+00   5.551852582802E-01   1.537983675124E+00
 1.091555295669E+03  -1.666562014045E+03  -5.750067183766E+02   1.458323708308E+00   6.817575035577E-01   9.457980648340E+02  -9.215240011410E+00   5.686965463329E-01   1.542410234637E+00
 1.091819058956E+03  -1.666826514675E+03  -5.750074557186E+02   1.458676097470E+00   6.818301036787E-01   9.585234432414E+02  -9.635233697549E+00   5.588077679274E-01   1.531433836680E+00
 1.093545445556E+03  -1.668554058791E+03  -5.750086132349E+02   1.460982559193E+00   6.828677631115E-01   9.297829797551E+02  -9.800899251525E+00   5.725388337972E-01   1.540059216988E+00
 1.095412710680E+03  -1.670424058591E+03  -5.750113479111E+02   1.463477235377E+00   6.840564164513E-01   9.704449325246E+02  -9.969363886915E+00   5.501942602809E-01   1.527201180824E+00
 1.091646945151E+03  -1.666652465029E+03  -5.750055198781E+02   1.458446152506E+00   6.819643619467E-01   9.402312441762E+02  -9.588480771483E+00   5.688296261389E-01   1.540318928715E+00
 1.093845374327E+03  -1.668856009069E+03  -5.750106347422E+02   1.461383265634E+00   6.832799575761E-01   9.629706895664E+02  -1.007494271352E+01   5.534553659907E-01   1.530185140151E+00
