 5.750002660149E+02   2.026619692441E+03  -1.451619426426E+03
 5.749984942917E+02   2.024199406257E+03  -1.449200911965E+03
 5.749987628111E+02   2.022629958061E+03  -1.447631195250E+03
 5.750013381660E+02   2.022636672551E+03  -1.447635334385E+03
 5.750095293851E+02   2.024821045169E+03  -1.449811515784E+03
 5.750092486140E+02   2.029046037346E+03  -1.454036788732E+03
 5.750135674892E+02   2.034231051331E+03  -1.459217483842E+03
 5.750137937270E+02   2.038904618231E+03  -1.463890824504E+03
 5.750150541224E+02   2.041734175204E+03  -1.466719121082E+03
 5.750073730781E+02   2.041840067396E+03  -1.466832694317E+03
 5.750102164584E+02   2.039154397844E+03  -1.464144181386E+03
 5.750094928423E+02   2.034696321729E+03  -1.459686828886E+03
 5.750023467692E+02   2.030129356870E+03  -1.455127010101E+03
 5.750005242824E+02   2.026416082937E+03  -1.451415558654E+03
 5.750045576218E+02   2.022759616358E+03  -1.447755058736E+03
 5.750071160660E+02   2.017582856940E+03  -1.442575740874E+03
 5.750069585510E+02   2.011567098581E+03  -1.436560140030E+03
 5.750074971063E+02   2.008262669462E+03  -1.433255172356E+03
 5.750033028107E+02   2.008621590349E+03  -1.433618287539E+03
 5.750091420306E+02   2.009375794563E+03  -1.434366652532E+03
 5.750109745825E+02   2.008421414078E+03  -1.433410439496E+03
 5.750082180239E+02   2.006759122883E+03  -1.431750904859E+03
 5.750077080952E+02   2.006231506884E+03  -1.431223798789E+03
 5.750053558633E+02   2.006929742254E+03  -1.431924386391E+03
 5.750061092773E+02   2.007522112145E+03  -1.432516002868E+03
 5.750035969400E+02   2.007944502762E+03  -1.432940905822E+03
 5.750087403525E+02   2.010099208418E+03  -1.435090468065E+03
 5.750077007867E+02   2.015185098243E+03  -1.440177397456E+03
 5.750169373505E+02   2.023111092399E+03  -1.448094155048E+03
 5.750241206884E+02   2.034460072782E+03  -1.459435952094E+03
 5.750242831564E+02   2.049048090094E+03  -1.474023806938E+03
 5.750300465342E+02   2.063007315215E+03  -1.487977268681E+03
 5.750282175391E+02   2.071355482108E+03  -1.496327264569E+03
 5.750323243645E+02   2.071916730192E+03  -1.496884405827E+03
 5.750290174277E+02   2.064750806635E+03  -1.489721789207E+03
 5.750254913880E+02   2.050906680345E+03  -1.475881188957E+03
 5.750330332782E+02   2.033104216498E+03  -1.458071183219E+03
 5.750303514284E+02   2.016166812299E+03  -1.441136460871E+03
 5.750337417693E+02   2.005215718691E+03  -1.430181976922E+03
 5.750316472404E+02   2.002605578879E+03  -1.427573931639E+03
 5.750284877139E+02   2.006701095341E+03  -1.431672607627E+03
 5.750205050332E+02   2.014217467550E+03  -1.439196962516E+03
 5.750207487606E+02   2.022987654143E+03  -1.447966905383E+03
 5.750263647257E+02   2.032093530908E+03  -1.457067166182E+03
 5.750360583566E+02   2.040668586785E+03  -1.465632528428E+03
 5.750260362139E+02   2.047378016405E+03  -1.472351980191E+03
 5.750168057416E+02   2.050891689263E+03  -1.475874883521E+03
 5.750099195129E+02   2.050839445125E+03  -1.475829525612E+03
 5.750120241451E+02   2.048369580488E+03  -1.473357556343E+03
 5.750090157646E+02   2.045812211611E+03  -1.470803195846E+03
 5.750128740928E+02   2.045588724666E+03  -1.470575850573E+03
 5.750130705999E+02   2.048253825552E+03  -1.473240754952E+03
 5.750165903074E+02   2.051650159344E+03  -1.476633569037E+03
 5.750229908439E+02   2.053320086815E+03  -1.478297095971E+03
 5.750186831872E+02   2.052881487223E+03  -1.477862804036E+03
 5.750281956310E+02   2.051543212675E+03  -1.476515017044E+03
 5.750218143283E+02   2.050586790363E+03  -1.475564976035E+03
 5.750192456684E+02   2.050538703997E+03  -1.475519458328E+03
 5.750151226451E+02   2.050953044238E+03  -1.475937921593E+03
 5.750148420497E+02   2.050701258244E+03  -1.475686416194E+03
 5.750097213038E+02   2.048765480206E+03  -1.473755758902E+03
 5.750128129691E+02   2.044945890893E+03  -1.469933077923E+03
 5.750241000201E+02   2.039809119841E+03  -1.464785019821E+03
 5.750236026026E+02   2.034112030429E+03  -1.459088427826E+03
 5.750238634484E+02   2.028381452421E+03  -1.453357588973E+03
 5.750220741518E+02   2.022875322583E+03  -1.447853248431E+03
 5.750161931560E+02   2.017814761658E+03  -1.442798568502E+03
 5.750174748261E+02   2.013566593305E+03  -1.438549118479E+03
 5.750159219405E+02   2.010394057305E+03  -1.435378135365E+03
 5.750166469374E+02   2.007936390875E+03  -1.432919743938E+03
 5.750127660307E+02   2.005114280076E+03  -1.430101514046E+03
 5.750158618290E+02   2.001171637966E+03  -1.426155776137E+03
 5.750167408406E+02   1.997705171621E+03  -1.422688430780E+03
 5.750129753251E+02   1.998970378008E+03  -1.423957402683E+03
 5.750146854245E+02   2.007510298226E+03  -1.432495612801E+03
 5.750163624857E+02   2.020572502965E+03  -1.445556140480E+03
 5.750153274364E+02   2.033938943168E+03  -1.458923615731E+03
 5.750092295418E+02   2.046476374217E+03  -1.471467144676E+03
 5.750133210708E+02   2.058955045546E+03  -1.483941724475E+03
 5.750145353691E+02   2.070616380276E+03  -1.495601844907E+03
 5.750149938815E+02   2.078785214207E+03  -1.503770220325E+03
 5.750190816771E+02   2.081198888403E+03  -1.506179806726E+03
 5.750270402944E+02   2.077368358653E+03  -1.502341318359E+03
 5.750265708207E+02   2.068279269040E+03  -1.493252698220E+03
 5.750312289247E+02   2.055904797938E+03  -1.480873569014E+03
 5.750253693844E+02   2.042587009640E+03  -1.467561640255E+03
 5.750261402179E+02   2.029960337238E+03  -1.454934197020E+03
