------------------------------------------------------------
 p - Hole Density
------------------------------------------------------------
Position (um), Charge Density (/cm3)
       10.0005659374,        8507012067.71
       10.0006286369,        8379732764.66
       10.0006982333,        8240760316.49
       10.0007754853,        8089293505.66
        10.000861235,        7924538304.42
       10.0009564173,         7745725097.8
       10.0010620695,         7552129831.6
       10.0011793435,        7343099474.89
       10.0013095176,        7118082094.73
       10.0014540109,        6876661686.21
       10.0016143985,        6618597668.55
       10.0017924287,        6343868630.76
       10.0019900422,        6052719472.34
       10.0022093932,        5745710527.04
       10.0024528728,        5423766579.35
       10.0027231351,        5088222900.16
       10.0030231263,        4740864579.31
       10.0033561166,        4383954588.58
       10.0037257358,        4020245278.63
        10.004136013,        3652967551.74
       10.0045914208,        3285791951.59
       10.0050969235,        2922756596.43
       10.0056580314,        2568158474.14
       10.0062808612,        2226407290.83
       10.0069722023,        1901844875.47
       10.0077395909,        1598537949.73
       10.0085913923,        1320057454.39
       10.0095368917,        1069262834.05
       10.0105863962,         848113665.77
       10.0117513461,         657532537.92
       10.0130444406,        497340982.525
       10.0144797754,        366283826.772
        10.016072997,        262146702.189
        10.017841473,        181957940.792
       10.0198044814,        122252176.769
       10.0219834207,        79361893.5927
       10.0244020433,        49698030.1132
       10.0270867145,         29983494.829
       10.0300666994,        17413824.1507
       10.0333744827,        9734684.52387
       10.0370461221,         5242223.2887
       10.0411216419,        2724998.33815
       10.0456454689,         1372395.8111
       10.0506669168,        673577.803338
        10.056240724,        324942.502845
         10.06242765,        155925.338199
       10.0692951379,         75618.635624
       10.0769180494,        37817.8718356
       10.0853794812,        19971.6922143
       10.0947716705,        11415.3866592
       10.1051970006,        7208.50146577
        10.116769117,        5079.82398156
       10.1296141662,        3977.32645317
       10.1438721708,        3401.28564747
        10.159698556,         3103.8763757
       10.1772658435,        2955.51556736
       10.1967655326,        2885.48029008
       10.2184101876,        2854.73865524
       10.2424357545,        2842.36975683
       10.2691041339,         2837.8618348
        10.298706035,        2836.38886963
       10.3315641452,          2835.961408
       10.3680366475,         2835.8522071
       10.4085211251,        2835.82785898
       10.4534588952,        2835.82315953
         10.50333982,        2835.82238045
       10.5587076465,        2835.82227033
        10.620165934,        2835.82225714
       10.6883846331,        2835.82225581
       10.7641073891,         2835.8222557
       10.8481596482,        2835.82225569
       10.9414576559,        2835.82225569
       11.0450184444,        2835.82225569
       11.1599709196,        2835.82225569
       11.2875681671,        2835.82225569
       11.4292011119,        2835.82225569
       11.5864136805,        2835.82225569
       11.7609196318,        2835.82225569
       11.9546212376,        2835.82225569
       12.1696300201,        2835.82225569
       12.4082897686,        2835.82225569
       12.6732020895,        2835.82225569
       12.9672547657,        2835.82225569
       13.2936532363,        2835.82225569
       13.6559555387,        2835.82225569
       14.0581110943,        2835.82225569
        14.504503761,        2835.82225569
       14.9999996211,        2835.82225569
       15.2317110533,        2835.82225569
       15.4750080571,        2835.82225569
       15.7304699111,        2835.82225569
       15.9987048577,        2835.82225569
       16.2803515518,        2835.82225569
       16.5760805805,        2835.82225569
       16.8865960607,        2835.82225569
       17.2126373148,        2835.82225569
       17.5549806317,        2835.82225569
       17.9144411144,        2835.82225569
       18.2918746213,        2835.82225569
       18.6881798035,        2835.82225569
       19.1043002448,        2835.82225569
       19.5412267082,        2835.82225569
       19.9999994948,        2835.82225569

------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Charge Density (/cm3)
                   0,        2835.82225569
      0.487971470245,        2835.82225569
      0.951544366978,        2835.82225569
       1.39193861887,        2835.82225569
       1.81031315818,        2835.82225569
       2.20776897051,        2835.82225569
       2.58535199223,        2835.82225569
       2.94405586287,        2835.82225569
       3.28482453997,        2835.82225569
       3.60855478322,        2835.82225569
        3.9160985143,        2835.82225569
