Z,N,Name,Exceso_masa_keV,Lifetime
87,124,211Fr,-4.14E+3,1.19E+1
87,123,210Fr,-3.34E+3,1.34E+1
87,122,209Fr,-3.78E+3,1.15E+1
87,143,230Fr,3.94E+4,6.54
87,142,229Fr,3.56E+4,5.00
87,141,228Fr,3.33E+4,6.73
87,140,227Fr,2.96E+4,5.89
87,146,233Fr,4.89E+4,1.95E+1
87,145,232Fr,4.60E+4,1.39E+1
87,144,231Fr,4.20E+4,7.73
87,118,205Fr,-1.30E+3,7.82
87,117,204Fr,6.07E+2,2.45E+1
87,117,204Fr,6.48e+02,2.46e+01
87,117,204Fr,9.23e+02,2.46e+01
87,116,203Fr,8.76E+2,6.23
87,116,203Fr,1.24e+03,6.23e+00
87,115,202Fr,3.10E+3,6.03
87,115,202Fr,3.36e+03,6.03e+00
87,119,206Fr,-1.24E+3,2.78E+1
87,119,206Fr,-1.05e+03,2.78e+01
87,119,206Fr,-5.17e+02,2.78e+01
87,110,197Fr,1.02E+4,5.64E+1
87,114,201Fr,3.58E+3,9.08
87,114,201Fr,3.72e+03,9.08e+00
87,113,200Fr,6.13E+3,3.05E+1
87,112,199Fr,6.77E+3,1.37E+1
87,111,198Fr,9.57E+3,3.11E+1
87,111,198Fr,9.57E+3,3.11E+1
88,137,225Ra,2.19E+4,2.59
88,136,224Ra,1.88E+4,1.81
88,139,227Ra,2.71E+4,1.94
88,138,226Ra,2.36E+4,1.92
88,131,219Ra,9.39E+3,6.81
88,130,218Ra,6.64E+3,9.80
88,133,221Ra,1.29E+4,4.63
88,132,220Ra,1.02E+4,7.59
88,135,223Ra,1.72E+4,2.09
88,134,222Ra,1.43E+4,4.45
88,126,214Ra,9.27E+1,5.25
88,125,213Ra,3.45E+2,9.81
88,128,216Ra,3.29E+3,8.00
88,127,215Ra,2.53E+3,7.20
88,129,217Ra,5.88E+3,7.04
88,120,208Ra,1.72E+3,9.02
88,122,210Ra,4.42E+2,9.19
88,121,209Ra,1.85E+3,5.74
88,124,212Ra,-1.98E+2,1.02E+1
88,123,211Ra,8.31E+2,4.96
88,140,228Ra,2.89E+4,1.99
88,142,230Ra,3.45E+4,1.02E+1
88,141,229Ra,3.25E+4,1.54E+1
88,144,232Ra,4.04E+4,9.15
88,143,231Ra,3.82E+4,1.13E+1
88,146,234Ra,4.69E+4,8.38
88,145,233Ra,4.43E+4,8.60
88,115,203Ra,8.60E+3,9.68
88,114,202Ra,9.07E+3,1.50E+1
88,117,205Ra,5.80E+3,2.27E+1
88,117,205Ra,6.07e+03,2.28e+01
88,116,204Ra,6.06E+3,8.92
88,119,207Ra,3.51E+3,5.82E+1
88,118,206Ra,3.56E+3,1.80E+1
88,113,201Ra,1.19E+4,2.03E+1
88,113,201Ra,1.22e+04,2.03e+01
89,119,208Ac,1.07E+4,6.44E+1
89,118,207Ac,1.11E+4,5.62E+1
89,117,206Ac,1.34E+4,6.50E+1
89,117,206Ac,1.37e+04,6.51e+01
89,116,205Ac,1.41E+4,5.93E+1
89,145,234Ac,4.48E+4,1.39E+1
89,144,233Ac,4.13E+4,1.30E+1
89,143,232Ac,3.91E+4,1.30E+1
89,142,231Ac,3.57E+4,1.30E+1
89,141,230Ac,3.38E+4,1.58E+1
89,140,229Ac,3.06E+4,1.21E+1
89,147,236Ac,5.12E+4,3.81E+1
89,146,235Ac,4.73E+4,1.39E+1
89,123,212Ac,7.29E+3,2.18E+1
89,122,211Ac,7.14E+3,5.37E+1
89,121,210Ac,8.76E+3,6.22E+1
89,120,209Ac,8.84E+3,5.58E+1
89,129,218Ac,1.08E+4,5.76E+1
89,128,217Ac,8.70E+3,1.12E+1
89,127,216Ac,8.14E+3,9.23
89,126,215Ac,6.03E+3,1.24E+1
89,125,214Ac,6.43E+3,1.35E+1
89,124,213Ac,6.14E+3,1.16E+1
89,134,223Ac,1.78E+4,6.94
89,133,222Ac,1.66E+4,4.69
89,133,222Ac,1.67e+04,4.70e+00
89,132,221Ac,1.45E+4,5.69E+1
89,131,220Ac,1.37E+4,6.12
89,130,219Ac,1.15E+4,5.14E+1
89,139,228Ac,2.88E+4,2.09
89,138,227Ac,2.58E+4,1.92
89,137,226Ac,2.43E+4,3.10
89,136,225Ac,2.16E+4,4.75
89,135,224Ac,2.02E+4,4.08
90,148,238Th,5.25E+4,2.83E+2
90,145,235Th,4.40E+4,1.30E+1
90,144,234Th,4.06E+4,2.58
90,147,237Th,4.99E+4,1.58E+1
90,146,236Th,4.62E+4,1.39E+1
90,141,231Th,3.38E+4,1.21
90,140,230Th,3.08E+4,1.20
90,143,233Th,3.87E+4,1.42
90,142,232Th,3.54E+4,1.42
90,138,228Th,2.67E+4,1.80
90,137,227Th,2.58E+4,2.08
90,139,229Th,2.95E+4,2.40
90,134,224Th,1.99E+4,9.60
90,133,223Th,1.93E+4,7.94
90,136,226Th,2.31E+4,4.48
90,135,225Th,2.23E+4,5.09
90,130,220Th,1.46E+4,1.36E+1
90,132,222Th,1.72E+4,1.02E+1
90,131,221Th,1.69E+4,7.99
90,127,217Th,1.22E+4,1.06E+1
90,126,216Th,1.02E+4,1.11E+1
90,129,219Th,1.44E+4,5.64E+1
90,128,218Th,1.23E+4,1.05E+1
90,123,213Th,1.21E+4,9.21
90,122,212Th,1.21E+4,1.01E+1
90,125,215Th,1.09E+4,6.33
90,124,214Th,1.06E+4,1.06E+1
90,121,211Th,1.38E+4,8.60E+1
90,120,210Th,1.40E+4,1.89E+1
90,119,209Th,1.63E+4,1.03E+2
90,118,208Th,1.66E+4,3.18E+1
91,120,211Pa,2.20E+4,6.94E+1
91,124,215Pa,1.78E+4,8.24E+1
91,123,214Pa,1.94E+4,8.12E+1
91,122,213Pa,1.96E+4,5.71E+1
91,121,212Pa,2.15E+4,8.76E+1
91,128,219Pa,1.85E+4,6.97E+1
91,127,218Pa,1.86E+4,1.78E+1
91,126,217Pa,1.70E+4,1.24E+1
91,125,216Pa,1.78E+4,2.46E+1
91,129,220Pa,2.02E+4,1.46E+1
91,131,222Pa,2.20E+4,8.66E+1
91,130,221Pa,2.03E+4,5.93E+1
91,135,226Pa,2.60E+4,1.12E+1
91,134,225Pa,2.43E+4,8.18E+1
91,133,224Pa,2.38E+4,7.58
91,132,223Pa,2.23E+4,7.56E+1
91,139,230Pa,3.21E+4,3.03
91,138,229Pa,2.98E+4,3.28
91,137,228Pa,2.89E+4,4.34
91,136,227Pa,2.68E+4,7.26
91,142,233Pa,3.74E+4,1.33
91,141,232Pa,3.59E+4,7.64
91,140,231Pa,3.34E+4,1.77
91,146,237Pa,4.75E+4,1.30E+1
91,145,236Pa,4.53E+4,1.39E+1
91,144,235Pa,4.22E+4,1.39E+1
91,143,234Pa,4.03E+4,4.09
91,143,234Pa,4.04e+04,4.09e+00
91,148,239Pa,5.33E+4,1.96E+2
91,147,238Pa,5.08E+4,1.58E+1
92,123,215U,2.48E+4,1.04E+2
92,130,222U,2.42E+4,5.19E+1
92,132,224U,2.57E+4,1.52E+1
92,131,223U,2.60E+4,5.90E+1
92,134,226U,2.73E+4,1.10E+1
92,133,225U,2.73E+4,9.93
92,125,217U,2.29E+4,8.10E+1
92,124,216U,2.30E+4,2.80E+1
92,127,219U,2.32E+4,1.33E+1
92,126,218U,2.18E+4,1.37E+1
92,129,221U,2.45E+4,7.21E+1
92,141,233U,3.69E+4,2.25
92,140,232U,3.46E+4,1.80
92,143,235U,4.09E+4,1.11
92,143,235U,4.09e+04,1.12e+00
92,142,234U,3.81E+4,1.12
92,145,237U,4.53E+4,1.20
92,144,236U,4.24E+4,1.11
92,136,228U,2.92E+4,1.34E+1
92,135,227U,2.90E+4,8.51
92,138,230U,3.16E+4,4.50
92,137,229U,3.12E+4,5.93
92,139,231U,3.38E+4,2.67
92,150,242U,5.86E+4,2.01E+2
92,147,239U,5.05E+4,1.50
92,146,238U,4.73E+4,1.49
92,149,241U,5.61E+4,1.96E+2
92,148,240U,5.27E+4,2.55
93,129,222Np,3.12E+4,3.80E+1
93,127,220Np,3.04E+4,3.07E+1
93,126,219Np,2.94E+4,9.19E+1
93,133,226Np,3.28E+4,1.02E+2
93,132,225Np,3.16E+4,9.16E+1
93,131,224Np,3.20E+4,2.89E+1
93,130,223Np,3.06E+4,8.28E+1
93,149,242Np,5.74E+4,2.00E+2
93,149,242Np,5.74E+4,2.00E+2
93,148,241Np,5.43E+4,1.00E+2
93,147,240Np,5.23E+4,1.70E+1
93,147,240Np,5.23e+04,1.70e+01
93,146,239Np,4.93E+4,1.31
93,145,238Np,4.74E+4,1.13
93,151,244Np,6.32E+4,1.00E+2
93,150,243Np,5.98E+4,3.20E+1
93,139,232Np,3.73E+4,1.00E+2
93,138,231Np,3.56E+4,5.11E+1
93,137,230Np,3.52E+4,5.50E+1
93,136,229Np,3.38E+4,1.01E+2
93,135,228Np,3.38E+4,1.00E+2
93,134,227Np,3.25E+4,7.69E+1
93,144,237Np,4.48E+4,1.12
93,143,236Np,4.33E+4,5.04E+1
93,143,236Np,4.34e+04,5.04e+01
93,142,235Np,4.10E+4,1.38
93,141,234Np,3.99E+4,8.39
93,140,233Np,3.79E+4,5.09E+1
94,152,246Pu,6.53E+4,1.49E+1
94,151,245Pu,6.31E+4,1.36E+1
94,153,247Pu,6.92E+4,2.00E+2
94,150,244Pu,5.98E+4,2.34
94,150,244Pu,6.10e+04,2.35e+00
94,149,243Pu,5.77E+4,2.54
94,148,242Pu,5.47E+4,1.24
94,145,239Pu,4.85E+4,1.11
94,144,238Pu,4.61E+4,1.13
94,147,241Pu,5.29E+4,1.10
94,146,240Pu,5.01E+4,1.10
94,141,235Pu,4.21E+4,2.05E+1
94,140,234Pu,4.03E+4,6.79
94,143,237Pu,4.50E+4,1.69
94,143,237Pu,4.52e+04,1.70e+00
94,142,236Pu,4.29E+4,1.81
94,138,232Pu,3.83E+4,1.68E+1
94,137,231Pu,3.83E+4,2.20E+1
94,139,233Pu,4.00E+4,5.41E+1
94,134,228Pu,3.61E+4,2.33E+1
94,136,230Pu,3.69E+4,1.44E+1
94,135,229Pu,3.73E+4,6.06E+1
95,135,230Am,4.28E+4,1.43E+2
95,134,229Am,4.21E+4,1.06E+2
95,139,234Am,4.44E+4,1.60E+2
95,138,233Am,4.32E+4,1.14E+2
95,137,232Am,4.34E+4,3.00E+2
95,142,237Am,4.65E+4,5.90E+1
95,141,236Am,4.60E+4,1.19E+2
95,141,236Am,4.60E+4,1.19E+2
95,140,235Am,4.46E+4,5.27E+1
95,146,241Am,5.29E+4,1.11
95,145,240Am,5.15E+4,1.38E+1
95,144,239Am,4.93E+4,1.98
95,143,238Am,4.84E+4,5.89E+1
95,149,244Am,5.98E+4,1.49
95,149,244Am,6.00e+04,1.49e+00
95,148,243Am,5.71E+4,1.38
95,147,242Am,5.54E+4,1.11
95,147,242Am,5.55e+04,1.12e+00
95,152,247Am,6.71E+4,1.00E+2
95,151,246Am,6.49E+4,1.80E+1
95,151,246Am,6.49E+4,1.80E+1
95,150,245Am,6.19E+4,1.88
95,128,223Am,4.27E+4,3.00E+2
96,141,237Cm,4.92E+4,7.43E+1
96,140,236Cm,4.78E+4,1.76E+1
96,138,234Cm,4.67E+4,1.70E+1
96,137,233Cm,4.72E+4,8.10E+1
96,139,235Cm,4.80E+4,1.02E+2
96,150,246Cm,6.26E+4,1.52
96,150,246Cm,6.38e+04,1.52e+00
96,152,248Cm,6.73E+4,2.35
96,151,247Cm,6.55E+4,3.79
96,143,239Cm,5.11E+4,1.50E+2
96,142,238Cm,4.94E+4,1.22E+1
96,145,241Cm,5.37E+4,1.60
96,144,240Cm,5.17E+4,1.90
96,147,243Cm,5.71E+4,1.49
96,146,242Cm,5.48E+4,1.14
96,149,245Cm,6.10E+4,1.14
96,148,244Cm,5.84E+4,1.10
96,154,250Cm,7.29E+4,1.02E+1
96,153,249Cm,7.07E+4,2.37
96,155,251Cm,7.66E+4,2.26E+1
97,141,238Bk,5.42E+4,2.56E+2
97,142,239Bk,5.42E+4,2.07E+2
97,143,240Bk,5.56E+4,1.50E+2
97,144,241Bk,5.59E+4,1.65E+2
97,145,242Bk,5.77E+4,1.35E+2
97,146,243Bk,5.86E+4,4.52
97,147,244Bk,6.07E+4,1.43E+1
97,148,245Bk,6.18E+4,1.79
97,149,246Bk,6.39E+4,6.00E+1
97,150,247Bk,6.54E+4,5.18
97,151,248Bk,6.81E+4,5.00E+1
97,151,248Bk,6.81E+4,5.00E+1
97,136,233Bk,5.27E+4,2.33E+2
97,137,234Bk,5.33E+4,1.53E+2
97,139,236Bk,5.35E+4,3.61E+2
97,140,237Bk,5.32E+4,2.30E+2
97,152,249Bk,6.98E+4,1.24
97,153,250Bk,7.29E+4,2.89
97,154,251Bk,7.52E+4,1.07E+1
97,155,252Bk,7.85E+4,2.00E+2
97,156,253Bk,8.09E+4,3.59E+2
98,148,246Cf,6.40E+4,1.51
98,149,247Cf,6.61E+4,1.43E+1
98,146,244Cf,6.14E+4,2.61
98,147,245Cf,6.33E+4,2.42
98,144,242Cf,5.93E+4,1.28E+1
98,145,243Cf,6.09E+4,1.81E+2
98,142,240Cf,5.79E+4,1.80E+1
98,143,241Cf,5.93E+4,1.67E+2
98,140,238Cf,5.72E+4,2.98E+2
98,141,239Cf,5.82E+4,1.20E+2
98,150,248Cf,6.72E+4,5.12
98,139,237Cf,5.79E+4,9.73E+1
98,157,255Cf,8.48E+4,2.00E+2
98,158,256Cf,8.70E+4,3.14E+2
98,155,253Cf,7.93E+4,4.25
98,156,254Cf,8.13E+4,1.14E+1
98,153,251Cf,7.41E+4,3.90
98,154,252Cf,7.60E+4,2.35
98,151,249Cf,6.97E+4,1.18
98,152,250Cf,7.11E+4,1.53
99,147,246Es,6.78E+4,8.99E+1
99,148,247Es,6.85E+4,1.94E+1
99,149,248Es,7.02E+4,5.20E+1
99,143,242Es,6.48E+4,2.57E+2
99,144,243Es,6.47E+4,2.07E+2
99,145,244Es,6.60E+4,1.81E+2
99,146,245Es,6.63E+4,1.65E+2
99,141,240Es,6.42E+4,3.66E+2
99,142,241Es,6.38E+4,2.31E+2
99,158,257Es,8.94E+4,4.11E+2
99,154,253Es,7.90E+4,1.24
99,155,254Es,8.19E+4,2.93
99,155,254Es,8.21e+04,2.94e+00
99,156,255Es,8.40E+4,1.08E+1
99,157,256Es,8.71E+4,1.00E+2
99,157,256Es,8.71E+4,1.00E+2
99,150,249Es,7.11E+4,3.00E+1
99,151,250Es,7.32E+4,1.00E+2
99,151,250Es,7.32E+4,1.00E+2
99,152,251Es,7.45E+4,5.28
99,153,252Es,7.72E+4,5.00E+1
100,141,241Fm,6.92E+4,3.00E+2
100,145,245Fm,7.01E+4,1.95E+2
100,144,244Fm,6.89E+4,2.01E+2
100,143,243Fm,6.93E+4,1.30E+2
100,142,242Fm,6.84E+4,4.01E+2
100,149,249Fm,7.35E+4,6.21
100,148,248Fm,7.18E+4,8.49
100,147,247Fm,7.16E+4,1.81E+2
100,147,247Fm,7.17e+04,1.81e+02
100,146,246Fm,7.01E+4,1.36E+1
100,152,252Fm,7.68E+4,5.22
100,151,251Fm,7.59E+4,1.42E+1
100,150,250Fm,7.40E+4,7.88
100,150,250Fm,7.53e+04,7.89e+00
100,156,256Fm,8.54E+4,3.02
100,155,255Fm,8.38E+4,3.93
100,154,254Fm,8.09E+4,1.84
100,153,253Fm,7.93E+4,1.54
100,159,259Fm,9.37E+4,2.83E+2
100,158,258Fm,9.04E+4,2.00E+2
100,157,257Fm,8.85E+4,4.34
101,151,252Md,8.04E+4,9.12E+1
101,150,251Md,7.89E+4,1.89E+1
101,150,251Md,7.98e+04,1.89e+01
101,153,254Md,8.34E+4,1.00E+2
101,153,254Md,8.35e+04,1.00e+02
101,152,253Md,8.11E+4,3.10E+1
101,155,256Md,8.74E+4,1.24E+2
101,154,255Md,8.48E+4,5.56
101,157,258Md,9.16E+4,3.47
101,157,258Md,9.16E+4,3.47
101,156,257Md,8.89E+4,1.56
101,159,260Md,9.65E+4,3.16E+2
101,158,259Md,9.35E+4,1.01E+2
101,144,245Md,7.53E+4,2.60E+2
101,143,244Md,7.55E+4,3.74E+2
101,146,247Md,7.59E+4,2.07E+2
101,146,247Md,7.61e+04,2.07e+02
101,145,246Md,7.61E+4,2.60E+2
101,145,246Md,7.61E+4,2.60E+2
101,148,249Md,7.71E+4,1.64E+2
101,148,249Md,7.71E+4,1.64E+2
101,147,248Md,7.69E+4,1.84E+2
101,149,250Md,7.83E+4,9.09E+1
101,149,250Md,7.85e+04,9.09e+01
102,158,260No,9.56E+4,2.00E+2
102,157,259No,9.40E+4,6.36
102,156,258No,9.14E+4,1.00E+2
102,155,257No,9.02E+4,6.19
102,154,256No,8.78E+4,7.54
102,153,255No,8.68E+4,1.40E+1
102,152,254No,8.47E+4,9.65
102,152,254No,8.60e+04,9.66e+00
102,151,253No,8.43E+4,6.91
102,150,252No,8.28E+4,9.29
102,150,252No,8.41e+04,9.29e+00
102,160,262No,1.00E+5,3.61E+2
102,149,251No,8.28E+4,1.81E+2
102,149,251No,8.30e+04,1.81e+02
102,148,250No,8.15E+4,2.00E+2
102,147,249No,8.17E+4,2.79E+2
103,159,262Lr,1.02E+5,2.00E+2
103,158,261Lr,9.95E+4,2.00E+2
103,155,258Lr,9.47E+4,1.02E+2
103,154,257Lr,9.26E+4,4.40E+1
103,154,257Lr,9.26E+4,4.40E+1
103,157,260Lr,9.82E+4,1.25E+2
103,156,259Lr,9.58E+4,7.10E+1
103,151,254Lr,8.96E+4,9.13E+1
103,151,254Lr,8.98e+04,9.13e+01
103,150,253Lr,8.85E+4,1.64E+2
103,150,253Lr,8.85E+4,1.64E+2
103,153,256Lr,9.17E+4,8.29E+1
103,152,255Lr,8.99E+4,1.76E+1
103,152,255Lr,9.00e+04,1.77e+01
103,161,264Lr,1.06E+5,4.36E+2
103,163,266Lr,1.11E+5,5.39E+2
103,148,251Lr,8.78E+4,2.00E+2
103,148,251Lr,8.79e+04,2.00e+02
103,149,252Lr,8.85E+4,1.85E+2
104,163,267Rf,1.13E+5,5.75E+2
104,161,265Rf,1.08E+5,3.61E+2
104,156,260Rf,9.91E+4,2.00E+2
104,155,259Rf,9.83E+4,7.20E+1
104,154,258Rf,9.63E+4,1.61E+1
104,153,257Rf,9.58E+4,1.08E+1
104,153,257Rf,9.59e+04,1.08e+01
104,159,263Rf,1.04E+5,1.53E+2
104,158,262Rf,1.02E+5,2.24E+2
104,157,261Rf,1.01E+5,6.56E+1
104,157,261Rf,1.01E+5,6.56E+1
104,152,256Rf,9.42E+4,1.78E+1
104,151,255Rf,9.43E+4,1.81E+2
104,150,254Rf,9.32E+4,2.83E+2
104,149,253Rf,9.36E+4,4.10E+2
105,163,268Db,1.17E+5,5.29E+2
105,165,270Db,1.22E+5,5.75E+2
105,162,267Db,1.14E+5,3.74E+2
105,161,266Db,1.12E+5,2.83E+2
105,153,258Db,1.01E+5,9.18E+1
105,153,258Db,1.02e+05,9.19e+01
105,152,257Db,1.00E+5,1.64E+2
105,152,257Db,1.00e+05,1.65e+02
105,155,260Db,1.03E+5,9.30E+1
105,154,259Db,1.01E+5,5.66E+1
105,157,262Db,1.06E+5,1.43E+2
105,156,261Db,1.04E+5,1.10E+2
105,158,263Db,1.07E+5,1.68E+2
105,151,256Db,1.00E+5,1.87E+2
105,150,255Db,9.95E+4,2.83E+2
105,150,255Db,9.95E+4,2.83E+2
106,158,264Sg,1.10E+5,2.83E+2
106,157,263Sg,1.10E+5,9.50E+1
106,157,263Sg,1.10e+05,9.50e+01
106,156,262Sg,1.08E+5,2.21E+1
106,155,261Sg,1.08E+5,1.84E+1
106,154,260Sg,1.06E+5,2.05E+1
106,153,259Sg,1.06E+5,1.81E+2
106,153,259Sg,1.07e+05,1.81e+02
106,152,258Sg,1.05E+5,4.13E+2
106,159,265Sg,1.12E+5,1.39E+2
106,159,265Sg,1.12E+5,1.39E+2
106,161,267Sg,1.15E+5,2.61E+2
106,160,266Sg,1.13E+5,2.45E+2
106,165,271Sg,1.24E+5,5.91E+2
106,163,269Sg,1.19E+5,3.68E+2
107,171,278Bh,1.44E+5,4.00E+2
107,155,262Bh,1.14E+5,9.30E+1
107,155,262Bh,1.15e+05,9.31e+01
107,154,261Bh,1.13E+5,1.79E+2
107,157,264Bh,1.15E+5,1.77E+2
107,153,260Bh,1.13E+5,1.96E+2
107,160,267Bh,1.18E+5,2.63E+2
107,165,272Bh,1.28E+5,5.32E+2
107,167,274Bh,1.33E+5,5.78E+2
107,164,271Bh,1.25E+5,3.84E+2
107,163,270Bh,1.24E+5,2.99E+2
107,159,266Bh,1.18E+5,1.63E+2
107,158,265Bh,1.16E+5,2.39E+2
108,159,267Hs,1.22E+5,9.50E+1
108,159,267Hs,1.22E+5,9.50E+1
108,158,266Hs,1.21E+5,2.71E+1
108,158,266Hs,1.22e+05,2.71e+01
108,157,265Hs,1.20E+5,2.39E+1
108,163,271Hs,1.27E+5,2.76E+2
108,162,270Hs,1.25E+5,2.48E+2
108,161,269Hs,1.24E+5,1.31E+2
108,160,268Hs,1.22E+5,3.00E+2
108,167,275Hs,1.36E+5,5.93E+2
108,165,273Hs,1.31E+5,3.74E+2
108,156,264Hs,1.19E+5,2.88E+1
108,155,263Hs,1.19E+5,1.97E+2
108,169,277Hs,1.41E+5,4.47E+2
109,168,277Mt,1.43E+5,6.62E+2
109,167,276Mt,1.41E+5,5.32E+2
109,167,276Mt,1.41E+5,5.32E+2
109,169,278Mt,1.45E+5,5.79E+2
109,161,270Mt,1.30E+5,1.91E+2
109,166,275Mt,1.38E+5,3.87E+2
109,165,274Mt,1.37E+5,3.77E+2
109,157,266Mt,1.27E+5,9.64E+1
109,159,268Mt,1.29E+5,2.33E+2
110,157,267Ds,1.33E+5,2.04E+2
110,159,269Ds,1.34E+5,3.14E+1
110,171,281Ds,1.53E+5,4.93E+2
110,170,280Ds,1.50E+5,7.48E+2
110,172,282Ds,1.54E+5,3.00E+2
110,160,270Ds,1.34E+5,3.92E+1
110,167,277Ds,1.45E+5,3.92E+2
110,163,273Ds,1.38E+5,1.42E+2
110,161,271Ds,1.35E+5,9.70E+1
110,161,271Ds,1.35E+5,9.70E+1
110,169,279Ds,1.49E+5,6.05E+2
110,169,279Ds,1.49e+05,6.05e+02
111,175,286Rg,1.66E+5,4.58E+2
111,171,282Rg,1.57E+5,5.88E+2
111,170,281Rg,1.55E+5,7.74E+2
111,167,278Rg,1.50E+5,3.89E+2
111,163,274Rg,1.44E+5,2.09E+2
111,161,272Rg,1.42E+5,2.33E+2
111,168,279Rg,1.51E+5,4.22E+2
111,169,280Rg,1.53E+5,5.32E+2
112,165,277Cn,1.52E+5,1.53E+2
112,169,281Cn,1.57E+5,3.97E+2
112,174,286Cn,1.66E+5,7.00E+2
112,170,282Cn,1.58E+5,5.48E+2
112,171,283Cn,1.61E+5,6.15E+2
112,172,284Cn,1.62E+5,7.62E+2
112,173,285Cn,1.65E+5,5.07E+2
113,165,278Nh,1.59E+5,2.24E+2
113,169,282Nh,1.63E+5,4.00E+2
113,171,284Nh,1.66E+5,5.33E+2
113,172,285Nh,1.67E+5,7.75E+2
113,170,283Nh,1.64E+5,4.37E+2
113,173,286Nh,1.69E+5,5.90E+2
113,177,290Nh,1.78E+5,4.69E+2
114,170,284Fl,1.68E+5,6.56E+2
114,171,285Fl,1.70E+5,4.04E+2
114,172,286Fl,1.71E+5,5.49E+2
114,173,287Fl,1.73E+5,6.17E+2
114,174,288Fl,1.74E+5,7.63E+2
114,175,289Fl,1.77E+5,5.11E+2
114,176,290Fl,1.78E+5,7.00E+2
115,175,290Mc,1.82E+5,5.92E+2
115,173,288Mc,1.79E+5,5.36E+2
115,174,289Mc,1.80E+5,7.76E+2
115,172,287Mc,1.77E+5,4.43E+2
116,174,290Lv,1.85E+5,5.52E+2
116,175,291Lv,1.87E+5,6.23E+2
116,176,292Lv,1.88E+5,7.63E+2
116,177,293Lv,1.90E+5,5.15E+2
117,176,293Ts,1.94E+5,7.78E+2
117,177,294Ts,1.96E+5,5.93E+2
118,176,294Og,1.99E+5,5.53E+2
