 1.101927647577E+03  -1.676963786750E+03  -5.750361391724E+02   1.472181225888E+00   3.063875655879E-01   9.061827674999E+02  -5.029417509085E-01   1.580246844688E+00   1.305682948632E+01
 1.094824912031E+03  -1.669849192292E+03  -5.750242802604E+02   1.462691933242E+00   3.559493403686E-01   8.481620786621E+02  -6.074192065576E-01   1.412451114837E+00   1.308872924603E+01
 1.089216555923E+03  -1.664232820153E+03  -5.750162642298E+02   1.455199139510E+00   4.195810273356E-01   8.432251171971E+02  -7.813431567919E-01   1.221439803218E+00   1.322524349583E+01
 1.096907394815E+03  -1.671928593249E+03  -5.750211984338E+02   1.465474141370E+00   4.070404154684E-01   8.034402446561E+02  -1.033327892592E+00   1.006069557660E+00   1.284369491022E+01
 1.097595371241E+03  -1.672598174938E+03  -5.750028036963E+02   1.466393281551E+00   3.435961260479E-01   9.175358140354E+02  -4.321863360515E-01   1.833269352152E+00   1.366497575401E+01
 1.092425801593E+03  -1.667441200880E+03  -5.750153992874E+02   1.459486708875E+00   3.670288059400E-01   8.074681317996E+02  -1.061387741550E+00   9.569840708087E-01   1.247238947498E+01
 1.092727378367E+03  -1.667721832333E+03  -5.749944539657E+02   1.459889617057E+00   2.884693915203E-01   8.509048737938E+02  -6.175431662737E-01   1.341426660659E+00   1.250267298377E+01
 1.117551793307E+03  -1.692556371458E+03  -5.750045781507E+02   1.493055168079E+00   3.570381764860E-01   8.658274008422E+02  -7.598244753880E-01   1.157666456394E+00   1.284866969409E+01
 1.107600806381E+03  -1.682621585737E+03  -5.750207793556E+02   1.479760596367E+00   3.364955956112E-01   9.156301573079E+02  -4.593751798276E-01   1.719448101660E+00   1.350715587605E+01
 1.100815959292E+03  -1.675838885299E+03  -5.750229260073E+02   1.470696004398E+00   4.587625210829E-01   8.517582852575E+02  -7.942481244242E-01   1.222318448457E+00   1.356663894119E+01
