------------------------------------------------------------
 Jp - Hole current density
------------------------------------------------------------
Position (um), Current Density (A/cm2)
                   0,     0.00167781897689
      0.487971470245,     0.00167781897715
      0.951544366978,     0.00167781897777
       1.39193861887,      0.0016778189776
       1.81031315818,     0.00167781897684
       2.20776897051,     0.00167781897615
       2.58535199223,     0.00167781897532
       2.94405586287,     0.00167781897355
       3.28482453997,     0.00167781897015
       3.60855478322,     0.00167781896398
        3.9160985143,      0.0016778189526
       4.20826505883,     0.00167781893276
       4.48582327613,     0.00167781890119
       4.74950358257,     0.00167781884978
       4.99999987369,     0.00167781876764
       5.25024593471,     0.00167781863438
       5.48797969268,     0.00167781843185
       5.71382676274,     0.00167781812751
       5.92838147931,     0.00167781768052
       6.13220846005,     0.00167781704163
       6.32584409175,     0.00167781614486
       6.50979794186,     0.00167781490774
       6.68455409947,      0.0016778132351
        6.8505724492,     0.00167781101058
       7.00828988145,     0.00167780810338
       7.15812144208,     0.00167780436116
       7.30046142468,     0.00167779961611
       7.43568440815,     0.00167779368822
       7.56414624244,     0.00167778637882
       7.68618498502,      0.0016777774818
       7.80212179047,     0.00167776678886
       7.91226175565,      0.0016777540821
       8.01689472257,     0.00167773915008
       8.11629604115,     0.00167772179232
       8.21072729379,     0.00167770181042
       8.30043698381,     0.00167767903011
       8.38566118932,     0.00167765329181
       8.46662418456,     0.00167762446179
       8.54353903003,     0.00167759243936
       8.61660813323,     0.00167755714112
       8.68602378128,      0.0016775185166
       8.75196864691,     0.00167747655331
       8.81461626927,     0.00167743127074
       8.87413151051,     0.00167738270546
       8.93067098969,     0.00167733094175
       8.98438349491,     0.00167727609196
       9.03541037487,     0.00167721826759
       9.08388591083,      0.0016771576379
       9.12993766999,     0.00167709438059
       9.17368684119,     0.00167702868147
       9.21524855383,     0.00167696075505
       9.25473218085,     0.00167689082232
       9.29224162651,     0.00167681910649
       9.32787559988,     0.00167674584988
       9.36172787459,       0.001676671289
       9.39388753557,     0.00167659566055
       9.42443921349,     0.00167651920065
       9.45346330752,     0.00167644212958
       9.48103619685,     0.00167636468467
       9.50723044171,     0.00167628709012
       9.53211497433,     0.00167620952878
       9.55575528031,     0.00167613221222
         9.578213571,     0.00167605532983
       9.59954894715,     0.00167597903695
        9.6198175545,     0.00167590349875
       9.63907273148,       0.001675828864
       9.65736514961,      0.0016757552712
       9.67474294683,     0.00167568284843
       9.69125185419,     0.00167561169175
       9.70693531618,     0.00167554187757
       9.72183460508,     0.00167547351865
       9.73598892953,      0.0016754066543
       9.74943553775,     0.00167534137122
       9.76220981557,     0.00167527770367
       9.77434537949,      0.0016752156463
       9.78587416522,     0.00167515525733
       9.79682651166,     0.00167509648499
       9.80723124078,     0.00167503933463
       9.81711573345,     0.00167498376459
       9.82650600148,     0.00167492964465
       9.83542675611,     0.00167487691431
       9.84390147301,     0.00167482543167
       9.85195245406,     0.00167477496939
       9.85960088606,     0.00167472531539
       9.86686689646,      0.0016746761306
       9.87376960634,     0.00167462710504
       9.88032718072,     0.00167457780971
       9.88655687639,     0.00167452761704
       9.89247508728,     0.00167447593615
       9.89809738761,     0.00167442195999
       9.90343857294,     0.00167436469769
       9.90851269899,     0.00167430296938
       9.91333311875,     0.00167423526395
       9.91791251751,     0.00167415973935
       9.92226294634,     0.00167407407379
       9.92639585373,     0.00167397533109
       9.93032211574,     0.00167385983719
       9.93405206466,     0.00167372295824
       9.93759551613,     0.00167355884114
       9.94096179503,     0.00167336012151
       9.94415975998,     0.00167311760745
       9.94719782668,       0.001672819841
       9.95008399005,     0.00167245262983
       9.95282584525,     0.00167199853583
       9.95543060769,     0.00167143628733
       9.95790513201,     0.00167074017588
       9.96025593011,     0.00166987940782
       9.96248918831,     0.00166881747122
        9.9646107836,     0.00166751152439
       9.96662629912,     0.00166591184835
       9.96854103887,     0.00166396139835
       9.97036004163,     0.00166159549443
       9.97208809425,     0.00165874169041
       9.97372974424,     0.00165531986183
       9.97528931173,     0.00165124254981
       9.97677090085,     0.00164641558363
       9.97817841051,     0.00164073900942
       9.97951554469,     0.00163410834009
       9.98078582215,     0.00162641612632
       9.98199258575,      0.0016175538506
       9.98313901117,     0.00160741413301
       9.98422811531,     0.00159589322771
       9.98526276425,      0.0015828937854
       9.98624568074,     0.00156832784326
        9.9871794514,     0.00155211999333
       9.98806653354,     0.00153421066127
       9.98890926156,     0.00151455940479
       9.98970985319,     0.00149314811483
       9.99047041523,     0.00146998396678
       9.99119294917,     0.00144510193918
       9.99187935642,     0.00141856668895
        9.9925314433,     0.00139047355881
       9.99315092584,     0.00136094850073
       9.99373943425,     0.00133014673869
       9.99429851724,      0.0012982500668
       9.99482964608,     0.00126546278311
       9.99533421848,     0.00123200638794
       9.99581356226,     0.00119811330706
       9.99626893885,     0.00116402001595
       9.99670154661,     0.00112996001757
       9.99711252398,     0.00109615714841
       9.99750295249,     0.00106281964964
       9.99787385957,      0.0010301353487
       9.99822622129,    0.000998268170339
       9.99856096493,    0.000967356054642
       9.99887897139,    0.000937510228344
       9.99918107752,    0.000908815671414
       9.99946807835,    0.000881332551721
       9.99974072913,     0.00085509837032
       9.99999974738,    0.000830130567995
       10.0000001659,    0.000830090207891
       10.0000006305,    0.000830045416024
       10.0000011463,    0.000829995690753
       10.0000017187,    0.000829940499025
       10.0000023541,    0.000829879240488
       10.0000030594,    0.000829811232884
       10.0000038423,    0.000829735756817
       10.0000047113,    0.000829651971086
       10.0000056759,    0.000829558975831
       10.0000067466,    0.000829455744797
       10.0000079351,    0.000829341153028
       10.0000092543,    0.000829213973239
