------------------------------------------------------------
 Efn - quasi Fermi level for electrons
------------------------------------------------------------
Position (um) (#0), Energy (eV) (#0)
                   0,                -0.25
      0.487971470245,      -0.249996867344
      0.951544366978,      -0.249991206863
       1.39193861887,      -0.249979003157
       1.81031315818,      -0.249952657644
       2.20776897051,      -0.249897591948
       2.58535199223,      -0.249786772019
       2.94405586287,      -0.249572263084
       3.28482453997,      -0.249173376118
       3.60855478322,      -0.248462623151
        3.9160985143,      -0.247254655478
       4.20826505883,      -0.245309770672
       4.48582327613,      -0.242367996265
       4.74950358257,      -0.238220244599
       4.99999987369,      -0.232791770281
       5.25024593471,      -0.225827431449
       5.48797969268,      -0.217818829766
       5.71382676274,      -0.209122277133
       5.92838147931,      -0.200071772256
       6.13220846005,      -0.190929872873
       6.32584409175,      -0.181880490614
       6.50979794186,      -0.173042268102
       6.68455409947,      -0.164486517143
        6.8505724492,      -0.156252648938
       7.00828988145,      -0.148359452774
       7.15812144208,      -0.140812719112
       7.30046142468,      -0.133610189293
       7.43568440815,      -0.126744707647
       7.56414624244,        -0.1202062148
       7.68618498502,      -0.113983008306
       7.80212179047,      -0.108062542359
       7.91226175565,       -0.10243193644
       8.01689472257,     -0.0970782986995
       8.11629604115,     -0.0919889303122
       8.21072729379,     -0.0871514527104
       8.30043698381,      -0.082553884484
       8.38566118932,     -0.0781846852489
       8.46662418456,     -0.0740327777628
       8.54353903003,     -0.0700875557025
       8.61660813323,     -0.0663388820116
       8.68602378128,     -0.0627770810957
       8.75196864691,      -0.059392927064
       8.81461626927,     -0.0561776295039
       8.87413151051,     -0.0531228177959
       8.93067098969,     -0.0502205246555
       8.98438349491,     -0.0474631693708
       9.03541037487,      -0.044843541053
       9.08388591083,     -0.0423547821159
       9.12993766999,     -0.0399903721282
       9.17368684119,     -0.0377441121326
       9.21524855383,     -0.0356101094914
       9.25473218085,     -0.0335827632929
       9.29224162651,     -0.0316567503352
       9.32787559988,      -0.029827011695
       9.36172787459,     -0.0280887398751
       9.39388753557,     -0.0264373665231
       9.42443921349,     -0.0248685507081
       9.45346330752,     -0.0233781677378
       9.48103619685,     -0.0219622985002
       9.50723044171,     -0.0206172193095
       9.53211497433,     -0.0193393922405
       9.55575528031,     -0.0181254559338
         9.578213571,     -0.0169722168587
       9.59954894715,     -0.0158766410315
        9.6198175545,     -0.0148358461942
       9.63907273148,     -0.0138470944833
       9.65736514961,     -0.0129077856476
       9.67474294683,     -0.0120154509208
       9.69125185419,     -0.0111677477101
       9.70693531618,     -0.0103624553385
       9.72183460508,    -0.00959747215758
       9.73598892953,    -0.00887081442552
       9.74943553775,    -0.00818061740924
       9.76220981557,     -0.0075251391874
       9.77434537949,    -0.00690276758875
       9.78587416522,    -0.00631203055784
       9.79682651166,     -0.0057516099701
       9.80723124078,    -0.00522035848674
       9.81711573345,    -0.00471731841862
       9.82650600148,    -0.00424174074095
       9.83542675611,    -0.00379310137975
       9.84390147301,    -0.00337111074881
       9.85195245406,    -0.00297571142338
       9.85960088606,    -0.00260705811399
       9.86686689646,    -0.00226547423452
       9.87376960634,    -0.00195138094329
       9.88032718072,    -0.00166519810308
       9.88655687639,     -0.0014072222766
       9.89247508728,    -0.00117749394095
       9.89809738761,   -0.000975672783821
       9.90343857294,   -0.000800943613778
       9.90851269899,   -0.000651973583324
       9.91333311875,   -0.000526933131796
       9.91791251751,   -0.000423579962612
       9.92226294634,   -0.000339391535792
       9.92639585373,   -0.000271721742066
       9.93032211574,   -0.000217954780304
       9.93405206466,   -0.000175633884683
       9.93759551613,   -0.000142551787597
       9.94096179503,   -0.000116799904516
       9.94415975998,   -9.67811420549e-05
       9.94719782668,   -8.11955821055e-05
       9.95008399005,   -6.90092818656e-05
       9.95282584525,   -5.94151339063e-05
       9.95543060769,    -5.1792387089e-05
       9.95790513201,   -4.56689811192e-05
       9.96025593011,   -4.06888184332e-05
       9.96248918831,   -3.65846618421e-05
        9.9646107836,   -3.31564676407e-05
       9.96662629912,   -3.02545133937e-05
       9.96854103887,   -2.77665155324e-05
       9.97036004163,   -2.56079360056e-05
       9.97208809425,   -2.37147654266e-05
       9.97372974424,   -2.20381893243e-05
       9.97528931173,   -2.05406644831e-05
       9.97677090085,    -1.9193039584e-05
       9.97817841051,   -1.79724433521e-05
       9.97951554469,   -1.68607339869e-05
       9.98078582215,   -1.58433579247e-05
       9.98199258575,    -1.4908506827e-05
       9.98313901117,   -1.40464919497e-05
       9.98422811531,   -1.32492772319e-05
       9.98526276425,   -1.25101285753e-05
       9.98624568074,   -1.18233484646e-05
        9.9871794514,   -1.11840735107e-05
       9.98806653354,   -1.05881185714e-05
       9.98890926156,    -1.0031855501e-05
       9.98970985319,   -9.51211774404e-06
       9.99047041523,   -9.02612430689e-06
       9.99119294917,   -8.57141832206e-06
       9.99187935642,   -8.14581667424e-06
        9.9925314433,   -7.74736808869e-06
       9.99315092584,   -7.37431778407e-06
       9.99373943425,   -7.02507733673e-06
       9.99429851724,   -6.69819880561e-06
       9.99482964608,   -6.39235247774e-06
       9.99533421848,   -6.10630781637e-06
       9.99581356226,   -5.83891733408e-06
       9.99626893885,   -5.58910319874e-06
       9.99670154661,   -5.35584640253e-06
       9.99711252398,   -5.13817831031e-06
       9.99750295249,   -4.93517436662e-06
       9.99787385957,    -4.7459496908e-06
       9.99822622129,   -4.56965625112e-06
       9.99856096493,   -4.40548128599e-06
       9.99887897139,   -4.25264663471e-06
       9.99918107752,   -4.11040866657e-06
       9.99946807835,   -3.97805852968e-06
       9.99974072913,   -3.85492249753e-06
